author,sentence,response,group,lexicalization,case,type,animacy,filler_type,stype,response_round,condition
Krainova_2024,Администрация написала эти тысячу писем.,4.666666666666667,D,11,acc,tisyacha,unanimated,,stimul,5.0,"acc, unanimated"
Krainova_2024,Актриса удивилась этим тысяче писем.,2.272727272727273,B,11,dat,tisyacha,unanimated,,stimul,2.0,"dat, unanimated"
Krainova_2024,Архив не досчитался этих сотни книг.,3.75,A,3,gen,sotnya,unanimated,,stimul,4.0,"gen, unanimated"
Krainova_2024,Астероиды задели эти тысячу звезд.,3.5,D,7,acc,tisyacha,unanimated,,stimul,4.0,"acc, unanimated"
Krainova_2024,Астрономы не замечали этих тысячи звезд.,3.083333333333333,A,7,gen,tisyacha,unanimated,,stimul,3.0,"gen, unanimated"
Krainova_2024,Балерина стыдилась этих пары ошибок.,3.4166666666666665,B,24,gen,para,unanimated,,stimul,3.0,"gen, unanimated"
Krainova_2024,Библиотека владела этими сотней экземпляров.,2.909090909090909,A,22,ins,sotnya,unanimated,,stimul,3.0,"ins, unanimated"
Krainova_2024,Бизнесмены назначили эти пару встреч.,4.75,B,5,acc,para,unanimated,,stimul,5.0,"acc, unanimated"
Krainova_2024,Биолог заинтересовался этими десятком бабочек.,1.6666666666666667,B,15,ins,desyatok,animated,,stimul,2.0,"ins, animated"
Krainova_2024,Ботаник засушил эти сотню трав.,2.6666666666666665,B,21,acc,sotnya,unanimated,,stimul,3.0,"acc, unanimated"
Krainova_2024,Бухгалтер избегал этих пары коллег.,3.0,B,4,gen,para,animated,,stimul,3.0,"gen, animated"
Krainova_2024,В Австралии остерегались этих сотни животных.,3.083333333333333,B,20,gen,sotnya,animated,,stimul,3.0,"gen, animated"
Krainova_2024,В Красную Книгу внесли этих сотню животных.,3.083333333333333,A,20,acc,sotnya,animated,,stimul,3.0,"acc, animated"
Krainova_2024,В баскетбол играли эти десяток игроков.,3.0,D,16,nom,desyatok,animated,,stimul,3.0,"nom, animated"
Krainova_2024,В горах росли эти сотня трав.,2.333333333333333,A,21,nom,sotnya,unanimated,,stimul,2.0,"nom, unanimated"
Krainova_2024,В городе остерегались этих сотни собак.,3.333333333333333,D,2,gen,sotnya,animated,,stimul,3.0,"gen, animated"
Krainova_2024,В заповеднике росли эти тысяча деревьев.,4.0,A,9,nom,tisyacha,unanimated,,stimul,4.0,"nom, unanimated"
Krainova_2024,В книжный поступили эти сотня экземпляров.,1.75,B,22,nom,sotnya,unanimated,,stimul,2.0,"nom, unanimated"
Krainova_2024,В магазин привезли эти сотню книг.,3.0,D,3,acc,sotnya,unanimated,,stimul,3.0,"acc, unanimated"
Krainova_2024,В ограждение врезались эти десяток водителей.,2.833333333333333,B,6,nom,desyatok,animated,,stimul,3.0,"nom, animated"
Krainova_2024,В приюте жили эти сотня собак.,2.1666666666666665,B,2,nom,sotnya,animated,,stimul,2.0,"nom, animated"
Krainova_2024,В ресторан пришли эти дюжина приятелей.,2.75,B,18,nom,dyuzina,animated,,stimul,3.0,"nom, animated"
Krainova_2024,В спектакле играли эти пара актеров.,3.333333333333333,C,23,nom,para,animated,,stimul,3.0,"nom, animated"
Krainova_2024,В употреблении находятся эти дюжина языков.,2.9166666666666665,A,1,nom,dyuzina,unanimated,,stimul,3.0,"nom, unanimated"
Krainova_2024,В фильме звучали эти десяток песен.,2.333333333333333,B,14,nom,desyatok,unanimated,,stimul,2.0,"nom, unanimated"
Krainova_2024,В финале наградили этих десяток игроков.,1.9166666666666667,A,16,acc,desyatok,animated,,stimul,2.0,"acc, animated"
Krainova_2024,В шкафах стояли эти сотня книг.,2.75,C,3,nom,sotnya,unanimated,,stimul,3.0,"nom, unanimated"
Krainova_2024,Вася сторонился этих дюжины приятелей.,3.75,D,18,gen,dyuzina,animated,,stimul,4.0,"gen, animated"
Krainova_2024,Волонтеры покормили этих сотню собак.,3.75,C,2,acc,sotnya,animated,,stimul,4.0,"acc, animated"
Krainova_2024,Врач не вылечил этих дюжину пациентов.,2.1666666666666665,B,8,gen,dyuzina,animated,,stimul,2.0,"gen, animated"
Krainova_2024,Государство управляло этими дюжиной заводов.,2.75,D,17,ins,dyuzina,unanimated,,stimul,3.0,"ins, unanimated"
Krainova_2024,Директор уволил этих пару коллег.,2.833333333333333,A,4,acc,para,animated,,stimul,3.0,"acc, animated"
Krainova_2024,За городом построили эти дюжину заводов.,2.1666666666666665,B,17,acc,dyuzina,unanimated,,stimul,2.0,"acc, unanimated"
Krainova_2024,Заграждение препятствовало этим десятку водителей.,1.9090909090909087,A,6,dat,desyatok,animated,,stimul,2.0,"dat, animated"
Krainova_2024,Засуха угрожала этим тысяче деревьев.,4.333333333333333,D,9,dat,tisyacha,unanimated,,stimul,4.0,"dat, unanimated"
Krainova_2024,Знаменитости возмутились этими дюжиной журналистов.,2.272727272727273,B,19,ins,dyuzina,animated,,stimul,2.0,"ins, animated"
Krainova_2024,Зоопарк заинтересовался этими сотней животных.,2.833333333333333,C,20,ins,sotnya,animated,,stimul,3.0,"ins, animated"
