author,sentence,response,response_round,subtype,type,lexicalization,condition,conj_order,verb_agreement
Belova_2022_2,Ты и я вношу аванс за квартиру.,3.0,3.0,coordination,stimul,25.0,"you_I, 1sg",you_I,1sg
Belova_2022_2,Ты и я закрываешь долги за семестр.,2.4545454545454546,2.0,coordination,stimul,27.0,"you_I, 2sg",you_I,2sg
Belova_2022_2,Ты и я проводишь вечер у соседей.,2.5,2.0,coordination,stimul,6.0,"you_I, 2sg",you_I,2sg
Belova_2022_2,Ты и я отдаём книги в библиотеку.,4.0,4.0,coordination,stimul,18.0,"you_I, 1pl",you_I,1pl
Belova_2022_2,Ты и я плачу штрафы за парковку.,3.1333333333333333,3.0,coordination,stimul,28.0,"you_I, 1sg",you_I,1sg
Belova_2022_2,Я и ты готовим перекус из овощей.,5.642857142857143,6.0,coordination,stimul,31.0,"I_you, 1pl",I_you,1pl
Belova_2022_2,Я погладила рубашки Жене и Захару.,6.019607843137255,6.0,good,filler,,good,,
Belova_2022_2,Я и ты подбираешь галстук под пиджак.,2.727272727272727,3.0,coordination,stimul,23.0,"I_you, 2sg",I_you,2sg
Belova_2022_2,Я и ты подбирают галстук под пиджак.,3.25,3.0,coordination,stimul,23.0,"I_you, 3pl",I_you,3pl
Belova_2022_2,Я и ты покупаешь телевизор для бабушки.,2.6153846153846154,3.0,coordination,stimul,1.0,"I_you, 2sg",I_you,2sg
Belova_2022_2,Я и ты встречаем рассвет у озера.,5.454545454545454,5.0,coordination,stimul,7.0,"I_you, 1pl",I_you,1pl
Belova_2022_2,Композитор сочинил симфонией и оперой.,1.8725490196078431,2.0,bad,filler,,bad,,
Belova_2022_2,Я и ты проводят вечер у соседей.,2.0,2.0,coordination,stimul,6.0,"I_you, 3pl",I_you,3pl
Belova_2022_2,Я и ты платишь штрафы за парковку.,2.3846153846153846,2.0,coordination,stimul,28.0,"I_you, 2sg",I_you,2sg
Belova_2022_2,Я и ты снимаешь комнату у метро.,2.090909090909091,2.0,coordination,stimul,5.0,"I_you, 2sg",I_you,2sg
Belova_2022_2,Ты и я сдаём коробки в макулатуру.,5.2,5.0,coordination,stimul,19.0,"you_I, 1pl",you_I,1pl
Belova_2022_2,Я и ты вношу аванс за квартиру.,2.4166666666666665,2.0,coordination,stimul,25.0,"I_you, 1sg",I_you,1sg
Belova_2022_2,Я и ты читаем письмо от ректора.,4.230769230769231,4.0,coordination,stimul,11.0,"I_you, 1pl",I_you,1pl
Belova_2022_2,Я и ты читают письмо от ректора.,2.3,2.0,coordination,stimul,11.0,"I_you, 3pl",I_you,3pl
Belova_2022_2,Ты и я забираем машину из сервиса.,4.733333333333333,5.0,coordination,stimul,29.0,"you_I, 1pl",you_I,1pl
Belova_2022_2,Я и ты снимаю комнату у метро.,2.9285714285714284,3.0,coordination,stimul,5.0,"I_you, 1sg",I_you,1sg
Belova_2022_2,Ты и я подбираем галстук под пиджак.,4.714285714285714,5.0,coordination,stimul,23.0,"you_I, 1pl",you_I,1pl
Belova_2022_2,Ты и я провожу вечер у соседей.,1.9230769230769231,2.0,coordination,stimul,6.0,"you_I, 1sg",you_I,1sg
Belova_2022_2,Я и ты варят гречку на костре.,3.1818181818181817,3.0,coordination,stimul,13.0,"I_you, 3pl",I_you,3pl
Belova_2022_2,Я и ты встречаю рассвет у озера.,2.0,2.0,coordination,stimul,7.0,"I_you, 1sg",I_you,1sg
Belova_2022_2,Ты и я подбирают галстук под пиджак.,3.0,3.0,coordination,stimul,23.0,"you_I, 3pl",you_I,3pl
Belova_2022_2,Ты и я варят гречку на костре.,2.923076923076923,3.0,coordination,stimul,13.0,"you_I, 3pl",you_I,3pl
Belova_2022_2,Вася и Петя на каникулах съездили на море.,6.247524752475248,6.0,good,filler,,good,,
Belova_2022_2,Филипп и Никита упаковала подарки для учительница.,1.6862745098039216,2.0,bad,filler,,bad,,
Belova_2022_2,Я и ты отвожу диван в гараж.,2.142857142857143,2.0,coordination,stimul,17.0,"I_you, 1sg",I_you,1sg
