level_0,index,author,sentence,response,group,sentence_id,lexicalization,conj_order,verb_agreement,filler_type,type,response_round,condition
9,225,Belova_2022_2,Я и ты отмываю духовку от жира.,3.0,B,74,10.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
249,279,Belova_2022_2,Я и ты читаешь письмо от ректора.,2.571428571428572,D,83,11.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
157,141,Belova_2022_2,Ты и я чиним шкафчик для посуды.,5.2,H,29,4.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
209,242,Belova_2022_2,Я и ты плачу штрафы за парковку.,2.0,B,218,28.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
75,211,Belova_2022_2,Я и ты намечаем переезд за границу.,5.166666666666667,H,201,26.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
232,198,Belova_2022_2,Я и ты забирают машину из сервиса.,2.4,E,228,29.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
264,48,Belova_2022_2,Ты и я встречаешь рассвет у озера.,1.5,E,55,7.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
170,212,Belova_2022_2,Я и ты намечаешь переезд за границу.,2.4615384615384617,B,203,26.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
225,163,Belova_2022_2,Я и ты варим гречку на костре.,5.214285714285714,D,97,13.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
46,224,Belova_2022_2,Я и ты отмываешь духовку от жира.,2.5,C,75,10.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
143,28,Belova_2022_2,Ты и я арендуем участок под огород.,5.583333333333333,H,173,22.0,you_I,1pl,,stimul,6.0,"you_I, 1pl"
168,207,Belova_2022_2,Я и ты копаем грядку под редис.,5.066666666666666,F,185,24.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
5,232,Belova_2022_2,Я и ты пишешь заявление на увольнение.,2.0,H,115,15.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
140,204,Belova_2022_2,Я и ты ищешь ключи от квартиры.,1.8,E,91,12.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
154,136,Belova_2022_2,Ты и я снимают комнату у метро.,2.857142857142857,D,40,5.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
33,45,Belova_2022_2,Ты и я вносят аванс за квартиру.,3.866666666666666,F,200,25.0,you_I,3pl,,stimul,4.0,"you_I, 3pl"
109,172,Belova_2022_2,Я и ты вносишь аванс за квартиру.,2.4285714285714284,A,195,25.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
60,144,Belova_2022_2,Ты и я чинят шкафчик для посуды.,2.5384615384615383,C,32,4.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
68,101,Belova_2022_2,Ты и я пишем заявление на увольнение.,4.615384615384615,B,117,15.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
218,105,Belova_2022_2,Ты и я планируем поездку на дачу.,4.615384615384615,C,125,16.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
56,271,Belova_2022_2,Я и ты чиним шкафчик для посуды.,5.357142857142857,D,25,4.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
93,57,Belova_2022_2,Ты и я вырезаю снежинки из бумаги.,2.814814814814815,B,254,32.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
77,111,Belova_2022_2,Ты и я платят штрафы за парковку.,3.0,H,224,28.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
276,214,Belova_2022_2,Я и ты намечают переезд за границу.,2.4615384615384617,C,204,26.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
273,151,Belova_2022_2,Ты и я читают письмо от ректора.,2.4285714285714284,A,88,11.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
108,117,Belova_2022_2,Ты и я покупаем телевизор для бабушки.,3.8,E,5,1.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
254,248,Belova_2022_2,Я и ты покупаешь телевизор для бабушки.,2.6153846153846154,C,3,1.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
158,176,Belova_2022_2,Я и ты встречаешь рассвет у озера.,1.9285714285714288,A,51,7.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
167,150,Belova_2022_2,Ты и я читаю письмо от ректора.,2.636363636363636,G,86,11.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
45,202,Belova_2022_2,Я и ты закрывают долги за семестр.,3.071428571428572,D,212,27.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
79,237,Belova_2022_2,Я и ты планирую поездку на дачу.,2.5,H,122,16.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
208,94,Belova_2022_2,Ты и я отмываешь духовку от жира.,2.363636363636364,G,79,10.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
82,216,Belova_2022_2,Я и ты отвозим диван в гараж.,5.916666666666667,H,129,17.0,I_you,1pl,,stimul,6.0,"I_you, 1pl"
179,180,Belova_2022_2,Я и ты выкупаешь цепочку у ломбарда.,2.230769230769231,B,59,8.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
186,128,Belova_2022_2,Ты и я ровняют стены под покраску.,2.6923076923076925,B,168,21.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
30,254,Belova_2022_2,Я и ты провожу вечер у соседей.,3.090909090909091,G,42,6.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
22,68,Belova_2022_2,Ты и я забираю машину из сервиса.,2.090909090909091,G,230,29.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
24,56,Belova_2022_2,Ты и я вырезаешь снежинки из бумаги.,2.076923076923077,C,255,32.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
132,173,Belova_2022_2,Я и ты вносят аванс за квартиру.,2.6153846153846154,B,196,25.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
73,67,Belova_2022_2,Ты и я забираешь машину из сервиса.,2.083333333333333,H,231,29.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
202,81,Belova_2022_2,Ты и я копают грядку под редис.,2.3,E,192,24.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
