author,sentence,response,group,sentence_id,lexicalization,conj_number,second_conj,numeral,subtype,type,response_round,condition
Studenikina_2023,Александр посетил частный и государственный музей с налоговой проверкой.,3.888888888888889,H,271,28.0,same,singular,numeral_no,coordination,stimul,4.0,"same, singular, numeral_no"
Studenikina_2023,Захар прочитал два детективных и три фантастических рассказа по моей просьбе.,6.777777777777778,C,85,9.0,same,singular,numeral_yes,coordination,stimul,7.0,"same, singular, numeral_yes"
Studenikina_2023,Дмитрий сварил ягодный и травяные напитки для лечения простуды.,4.1,G,234,24.0,different,plural,numeral_no,coordination,stimul,4.0,"different, plural, numeral_no"
Studenikina_2023,Антон положил красные и шесть зеленых карандашей в новый пенал.,4.0,F,270,27.0,different-in-numeral,plural,numeral_yes,coordination,stimul,4.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Владимир отправил пять карандашных и акварельные рисунки на конкурс талантов.,2.555555555555556,I,109,11.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Вячеслав запланировал пять устных и шесть стендовых докладов по теме диссертации.,6.222222222222222,C,76,8.0,same,plural,numeral_yes,coordination,stimul,6.0,"same, plural, numeral_yes"
Studenikina_2023,Виталий распланировал пять будних и выходные дни для совместного досуга.,4.111111111111111,C,49,5.0,different-in-numeral,plural,numeral_no,coordination,stimul,4.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Филипп оценил парадные и бытовые портреты в картинной галерее.,6.0,H,162,17.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Филипп оценил пять парадных и три бытовых портрета в картинной галерее.,5.777777777777778,C,167,17.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Иван примерил два синих и шесть коричневых костюмов в магазине одежды.,6.5,G,198,20.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Эдуард представил два комедийных и три драматических фильма на летнем фестивале.,6.333333333333333,F,115,12.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Василий использовал пять длинных и три коротких шланга для полива огорода.,6.0,G,7,1.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Валерий заполнил два электронных и три бумажных журнала в конце четверти.,6.375,J,255,26.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Родион продал два российских и три иностранные автомобиля по сниженной цене.,2.7777777777777777,F,215,22.0,same,singular,numeral_yes,coordination,stimul,3.0,"same, singular, numeral_yes"
Studenikina_2023,Дмитрий сварил ягодные и травяные напитки для лечения простуды.,6.285714285714286,E,232,24.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Григорий завершил региональные и международный проект с большим успехом.,4.555555555555555,C,203,21.0,different,singular,numeral_no,coordination,stimul,5.0,"different, singular, numeral_no"
Studenikina_2023,Эдуард представил пять комедийных и три драматических фильма на летнем фестивале.,6.0,H,117,12.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Виталий распланировал два будних и три выходных дня для совместного досуга.,4.888888888888889,I,45,5.0,same,singular,numeral_yes,coordination,stimul,5.0,"same, singular, numeral_yes"
Studenikina_2023,Иван примерил пять синих и три коричневых костюма в магазине одежды.,6.333333333333333,F,197,20.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Александр посетил частные и государственные музеи с налоговой проверкой.,6.111111111111111,I,272,28.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Антон положил два красных и три зеленых карандаша в новый пенал.,6.75,A,265,27.0,same,singular,numeral_yes,coordination,stimul,7.0,"same, singular, numeral_yes"
Studenikina_2023,Григорий завершил два региональных и шесть международных проектов с большим успехом.,5.888888888888889,H,208,21.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Федор приготовил холодный и горячие соусы для праздничного ужина.,5.333333333333333,F,224,23.0,different,plural,numeral_no,coordination,stimul,5.0,"different, plural, numeral_no"
Studenikina_2023,Анатолий настроил пять старых и три новых датчика для сверки измерений.,5.875,J,137,14.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Глеб открыл пять спортивных и компьютерные магазины в соседних городах.,2.888888888888889,H,299,30.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Сергей выставил тональные и шесть солнцезащитных кремов на витрину магазина.,4.714285714285714,D,250,25.0,different-in-numeral,plural,numeral_yes,coordination,stimul,5.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Павел позаимствовал пихтовый и пчелиный бальзам для лечения суставов.,5.9,G,61,7.0,same,singular,numeral_no,coordination,stimul,6.0,"same, singular, numeral_no"
Studenikina_2023,Семен отработал прямые и шесть боковых ударов в боксерском клубе.,5.142857142857143,E,160,16.0,different-in-numeral,plural,numeral_yes,coordination,stimul,5.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Николай рассмотрел пять древних и современные экспонаты в историческом музее.,3.6666666666666665,C,149,15.0,different-in-numeral,plural,numeral_no,coordination,stimul,4.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Родион продал пять российских и иностранные автомобили по сниженной цене.,2.75,J,219,22.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Константин опубликовал простые и пять сложных рецептов в кулинарном блоге.,3.875,A,20,2.0,different-in-numeral,plural,numeral_yes,coordination,stimul,4.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Николай рассмотрел древние и современные экспонаты в историческом музее.,6.444444444444445,F,142,15.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Семен отработал два прямых и три боковых удара в боксерском клубе.,6.0,J,155,16.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
