author,sentence,response,response_round,subtype,type,lexicalization,condition,agreement,conjunction
Davidjuk_2023_4,Егор или я прочитает эту вводную лекцию.,5.4,5.0,coordination,stimul,6,"3sg, or",3sg,or
Davidjuk_2023_4,"Или Саша, или я отнесут это тяжёлое ведро.",3.6,4.0,coordination,stimul,32,"3pl, or_or",3pl,or_or
Davidjuk_2023_4,Андрей наденет эту тёплую куртку.,6.2625,6.0,good,filler,33,good,,
Davidjuk_2023_4,Дима или я послушаю это голосовое сообщение.,3.4,3.0,coordination,stimul,5,"1sg, or",1sg,or
Davidjuk_2023_4,Илья или я выполнит это срочное задание.,2.6,3.0,coordination,stimul,7,"3sg, or",3sg,or
Davidjuk_2023_4,Вадим или я соберут этот нужный материал.,2.7,3.0,coordination,stimul,9,"3pl, or",3pl,or
Davidjuk_2023_4,Егор или я прочитаю эту вводную лекцию.,3.6,4.0,coordination,stimul,6,"1sg, or",1sg,or
Davidjuk_2023_4,"Или Юра, или я устроим этот детский праздник.",4.5,4.0,coordination,stimul,12,"1pl, or_or",1pl,or_or
Davidjuk_2023_4,"Или Вова, или я споют эту весёлую песню.",3.6666666666666665,4.0,coordination,stimul,3,"3pl, or_or",3pl,or_or
Davidjuk_2023_4,Лёва или я произнесёт эту торжественную речь.,4.4,4.0,coordination,stimul,30,"3sg, or",3sg,or
Davidjuk_2023_4,Олег или я подпишу это деловое соглашение.,2.9,3.0,coordination,stimul,17,"1sg, or",1sg,or
Davidjuk_2023_4,Гоша или я начнут этот непростой разговор.,3.1,3.0,coordination,stimul,28,"3pl, or",3pl,or
Davidjuk_2023_4,"Или Лёва, или я произнесу эту торжественную речь.",3.7,4.0,coordination,stimul,30,"1sg, or_or",1sg,or_or
Davidjuk_2023_4,Миша или Федя поймаем эту крупную рыбу.,2.7088607594936707,3.0,bad,filler,33,bad,,
Davidjuk_2023_4,"Или Боря, или я закончат эту шахматную партию.",3.6,4.0,coordination,stimul,27,"3pl, or_or",3pl,or_or
Davidjuk_2023_4,Никита или я побелим этот высокий потолок.,4.4,4.0,coordination,stimul,20,"1pl, or",1pl,or
Davidjuk_2023_4,Боря или я закончим эту шахматную партию.,5.2,5.0,coordination,stimul,27,"1pl, or",1pl,or
Davidjuk_2023_4,Паша или я посетим этот научный семинар.,4.6,5.0,coordination,stimul,16,"1pl, or",1pl,or
Davidjuk_2023_4,Слава или я купит эту известную картину.,2.8,3.0,coordination,stimul,19,"3sg, or",3sg,or
Davidjuk_2023_4,"Или Влад, или я покрашу этот новый забор.",2.7,3.0,coordination,stimul,21,"1sg, or_or",1sg,or_or
Davidjuk_2023_4,Дима или Ваня протрём эту грязную полку.,2.6202531645569622,3.0,bad,filler,33,bad,,
Davidjuk_2023_4,"Или Гоша, или я начну этот непростой разговор.",4.2,4.0,coordination,stimul,28,"1sg, or_or",1sg,or_or
Davidjuk_2023_4,"Или Костя, или я расскажет эту интересную историю.",2.7,3.0,coordination,stimul,8,"1pl, or_or",1pl,or_or
Davidjuk_2023_4,Яша запишет этот почтовую адрес.,2.925,3.0,bad,filler,33,bad,,
Davidjuk_2023_4,"Или Влад, или я покрасит этот новый забор.",3.0,3.0,coordination,stimul,21,"3sg, or_or",3sg,or_or
Davidjuk_2023_4,Юра или я устрою этот детский праздник.,4.3,4.0,coordination,stimul,12,"1sg, or",1sg,or
Davidjuk_2023_4,"Или Никита, или я побелим этот высокий потолок.",4.8,5.0,coordination,stimul,20,"1pl, or_or",1pl,or_or
Davidjuk_2023_4,"Или Олег, или я подпишут это деловое соглашение.",3.8,4.0,coordination,stimul,17,"3pl, or_or",3pl,or_or
Davidjuk_2023_4,"Или Кирилл, или я прополют эту капустную грядку.",2.6666666666666665,3.0,coordination,stimul,10,"3pl, or_or",3pl,or_or
Davidjuk_2023_4,"Или Вадим, или я соберу этот нужный материал.",3.9,4.0,coordination,stimul,9,"1sg, or_or",1sg,or_or
Davidjuk_2023_4,"Или Игорь, или я совершим это далёкое путешествие.",5.3,5.0,coordination,stimul,13,"1pl, or_or",1pl,or_or
Davidjuk_2023_4,Кирилл или я прополет эту капустную грядку.,2.888888888888889,3.0,coordination,stimul,10,"3sg, or",3sg,or
Davidjuk_2023_4,"Или Петя, или я подниму этот важный вопрос.",3.6,4.0,coordination,stimul,15,"1sg, or_or",1sg,or_or
Davidjuk_2023_4,Слава или я купим эту известную картину.,5.6,6.0,coordination,stimul,19,"1pl, or",1pl,or
Davidjuk_2023_4,Илья или я выполнят это срочное задание.,3.7,4.0,coordination,stimul,7,"3pl, or",3pl,or
Davidjuk_2023_4,"Или Федя, или я выиграем этот теннисный турнир.",4.3,4.0,coordination,stimul,26,"1pl, or_or",1pl,or_or
