experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,agreement,head,noun_type,order,case,condition
Pasko_2024,На улице стены красит двенадцать маляров.,3.555555555555556,4.0,quantitative_nouns,stimul,27,211,singular verb,numeral head,12.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Треть почтальонов разносят письма по понедельникам.,6.0,6.0,quantitative_nouns,stimul,28,222,plural verb,noun head,tret,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,В мае экзамен сдает сорок первокурсников.,5.142857142857143,5.0,quantitative_nouns,stimul,1,3,singular verb,numeral head,40.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,По понедельникам письма разносит треть почтальонов.,5.25,5.0,quantitative_nouns,stimul,28,223,singular verb,noun head,tret,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Большинство певцов исполняют романсы на конкурсе.,5.888888888888889,6.0,quantitative_nouns,stimul,3,22,plural verb,noun head,bolshinstvo,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Пара прохожих пережидают дождь под навесом.,5.25,5.0,quantitative_nouns,stimul,13,102,plural verb,noun head,para,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Двадцать слушателей ведет конспекты на лекции.,4.25,4.0,quantitative_nouns,stimul,4,25,singular verb,numeral head,20.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,По утрам пациентов обходят восемнадцать врачей.,6.0,6.0,quantitative_nouns,stimul,8,60,plural verb,numeral head,18.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Пятнадцать прохожих пережидают дождь под навесом.,6.4,6.0,quantitative_nouns,stimul,13,98,plural verb,numeral head,15.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,В июне переподготовку проходит треть учителей.,6.375,6.0,quantitative_nouns,stimul,29,231,singular verb,noun head,tret,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,На берегу рыбу ловят девять пенсионеров.,5.375,5.0,quantitative_nouns,stimul,12,92,plural verb,numeral head,9.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Четыреста выпускников получает дипломы во вторник.,4.2,4.0,quantitative_nouns,stimul,30,233,singular verb,numeral head,400.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Половина фанатов ждут артиста у выхода.,5.125,5.0,quantitative_nouns,stimul,20,158,plural verb,noun head,polovina,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Большинство депутатов поддерживают законопроект в столице.,4.75,5.0,quantitative_nouns,stimul,2,14,plural verb,noun head,bolshinstvo,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Пятнадцать родителей убирают листья на субботнике.,5.625,6.0,quantitative_nouns,stimul,31,242,plural verb,numeral head,15.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Сорок первокурсников сдает экзамен в мае.,3.8,4.0,quantitative_nouns,stimul,1,1,singular verb,numeral head,40.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Восемь отличников обсуждает контрольную на перемене.,4.875,5.0,quantitative_nouns,stimul,18,137,singular verb,numeral head,8.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Тринадцать детей читает стихи на концерте.,3.333333333333333,3.0,quantitative_nouns,stimul,32,249,singular verb,numeral head,13.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Двенадцать соседей паркуют автомобили во дворе.,5.875,6.0,quantitative_nouns,stimul,25,194,plural verb,numeral head,12.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Шестьдесят учителей проходят переподготовку в июне.,6.1,6.0,quantitative_nouns,stimul,29,226,plural verb,numeral head,60.0,SV,nominative,"numeral head, plural verb, SV"
