experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,conjuncts,agreement,conjunction,case
Danilova_2023,Врач будет использовать стерильный и нестерильный бинт.,3.764705882352941,4.0,coordination,stimul,2,9,adjective_adjective,sg,and,accusative
Danilova_2023,Физик будет изучать цифровой или аналоговый сигналы.,4.230769230769231,4.0,coordination,stimul,1,8,adjective_adjective,pl,or,accusative
Danilova_2023,Отец одолжит шёлковый и бамбуковый халат.,3.3846153846153846,3.0,coordination,stimul,19,26,adjective_adjective,sg,and,accusative
Danilova_2023,Профессор и аспирантка будут исследовать тектонические плиты.,6.285714285714286,6.0,good,filler,37,44,,,,
Danilova_2023,Режиссёр снимет документальный или художественный фильм.,6.25,6.0,coordination,stimul,15,22,adjective_adjective,sg,or,accusative
Danilova_2023,Парикмахер будет использовать дорогой или дешевый шампунь.,5.0,5.0,coordination,stimul,26,33,adjective_adjective,sg,or,accusative
Danilova_2023,Электрик починит квартирный и этажный щиток.,5.6923076923076925,6.0,coordination,stimul,31,38,adjective_adjective,sg,and,accusative
Danilova_2023,Инженер будет руководить вагоноремонтным и вагоностроительным заводом.,4.733333333333333,5.0,coordination,stimul,14,21,adjective_adjective,sg,and,instrumental
Danilova_2023,Политолог будет заниматься европейским или азиатским регионом.,5.307692307692308,5.0,coordination,stimul,4,11,adjective_adjective,sg,or,instrumental
Danilova_2023,Директор будет пользоваться личным и служебным автомобилями.,5.642857142857143,6.0,coordination,stimul,25,32,adjective_adjective,pl,and,instrumental
Danilova_2023,Покупатель обзаведется деловым или спортивным костюмом.,5.833333333333333,6.0,coordination,stimul,8,15,adjective_adjective,sg,or,instrumental
Danilova_2023,Мама и папа купил зимнюю куртку.,1.7642276422764227,2.0,bad,filler,33,40,,,,
Danilova_2023,Отец одолжит шёлковый или бамбуковый халаты.,2.8666666666666667,3.0,coordination,stimul,19,26,adjective_adjective,pl,or,accusative
Danilova_2023,Физик будет изучать цифровой и аналоговый сигналы.,6.076923076923077,6.0,coordination,stimul,1,8,adjective_adjective,pl,and,accusative
Danilova_2023,Бизнесмен приобретёт городской и загородный дома.,4.583333333333333,5.0,coordination,stimul,9,16,adjective_adjective,pl,and,accusative
Danilova_2023,Профессор обзаведётся черным или серым пиджаком.,5.857142857142857,6.0,coordination,stimul,3,10,adjective_adjective,sg,or,instrumental
Danilova_2023,Руководитель распределит месячный и квартальный бюджет.,5.388888888888889,5.0,coordination,stimul,32,39,adjective_adjective,sg,and,accusative
Danilova_2023,Сосед одолжит столярный и слесарный молоток.,4.666666666666667,5.0,coordination,stimul,17,24,adjective_adjective,sg,and,accusative
Danilova_2023,Друг получит добрую и понимающую свекровей.,1.4796747967479675,1.0,bad,filler,60,67,,,,
Danilova_2023,Хирург выпишут направления на анализы и операцию.,1.8387096774193548,2.0,bad,filler,38,45,,,,
Danilova_2023,Плотник займётся обеденным или компьютерным столами.,4.230769230769231,4.0,coordination,stimul,13,20,adjective_adjective,pl,or,instrumental
Danilova_2023,Знакомый купит одноэтажный и двухэтажный дома.,5.4,5.0,coordination,stimul,24,31,adjective_adjective,pl,and,accusative
Danilova_2023,Политолог будет изучать европейский или азиатский регионы.,3.8,4.0,coordination,stimul,4,11,adjective_adjective,pl,or,accusative
Danilova_2023,Инженер возглавит вагоноремонтный или вагоностроительный заводы.,4.277777777777778,4.0,coordination,stimul,14,21,adjective_adjective,pl,or,accusative
Danilova_2023,Коллега возглавит бухгалтерский и финансовый отдел.,3.692307692307693,4.0,coordination,stimul,11,18,adjective_adjective,sg,and,accusative
Danilova_2023,Чиновник будет пользоваться служебным или личным автомобилем.,5.722222222222222,6.0,coordination,stimul,5,12,adjective_adjective,sg,or,instrumental
