sentence,response,author,group,sentence_id,lexicalization,conjunction_strategy,pron_person,subtype,type,response_round,condition
Весной вы с Ксюшей планируете предстоящий отпуск.,3.75,Manina_2022_1,G,176,20,inclusory comitative,2nd person pronoun,coordination,stimul,4.0,"inclusory comitative, 2nd person pronoun"
Весной вы с Таней покупаете новую одежду.,4.666666666666667,Manina_2022_1,I,41,5,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Весной мы с Ксюшей планируем предстоящий отпуск.,5.2,Manina_2022_1,F,175,20,inclusory comitative,1st person pronoun,coordination,stimul,5.0,"inclusory comitative, 1st person pronoun"
Весной мы с Таней покупаем новую одежду.,5.727272727272728,Manina_2022_1,H,40,5,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Весной он и Ксюша планируют предстоящий отпуск.,4.846153846153846,Manina_2022_1,B,180,20,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Весной он и Таня покупают новую одежду.,6.166666666666667,Manina_2022_1,D,45,5,conjunction,3rd person pronoun,coordination,stimul,6.0,"conjunction, 3rd person pronoun"
Весной он с Ксюшей планирует предстоящий отпуск.,5.125,Manina_2022_1,E,174,20,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Весной он с Таней покупает новую одежду.,4.5,Manina_2022_1,G,39,5,comitative,3rd person pronoun,coordination,stimul,4.0,"comitative, 3rd person pronoun"
Весной они с Ксюшей планируют предстоящий отпуск.,5.8,Manina_2022_1,H,177,20,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Весной они с Таней покупают новую одежду.,6.333333333333333,Manina_2022_1,A,42,5,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Весной ты и Ксюша планируете предстоящий отпуск.,3.857142857142857,Manina_2022_1,A,179,20,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Весной ты и Таня покупаете новую одежду.,4.428571428571429,Manina_2022_1,C,44,5,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Весной ты с Ксюшей планируешь предстоящий отпуск.,5.166666666666667,Manina_2022_1,D,173,20,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Весной ты с Таней покупаешь новую одежду.,4.0,Manina_2022_1,F,38,5,comitative,2nd person pronoun,coordination,stimul,4.0,"comitative, 2nd person pronoun"
Весной я и Ксюша планируем предстоящий отпуск.,5.583333333333333,Manina_2022_1,I,178,20,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Весной я и Таня покупаем новую одежду.,5.266666666666667,Manina_2022_1,B,43,5,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Весной я с Ксюшей планирую предстоящий отпуск.,6.571428571428571,Manina_2022_1,C,172,20,comitative,1st person pronoun,coordination,stimul,7.0,"comitative, 1st person pronoun"
Весной я с Таней покупаю новую одежду.,5.25,Manina_2022_1,E,37,5,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Вечером вы с Петей отправляете очередное письмо.,4.125,Manina_2022_1,G,23,3,inclusory comitative,2nd person pronoun,coordination,stimul,4.0,"inclusory comitative, 2nd person pronoun"
Вечером вы со Стёпой слушаете иностранные песни.,5.375,Manina_2022_1,E,158,18,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Вечером мы с Петей отправляем очередное письмо.,5.9,Manina_2022_1,F,22,3,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Вечером мы со Стёпой слушаем иностранные песни.,5.833333333333333,Manina_2022_1,D,157,18,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Вечером он и Петя отправляют очередное письмо.,4.142857142857143,Manina_2022_1,B,27,3,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Вечером он и Стёпа слушают иностранные песни.,5.416666666666667,Manina_2022_1,I,162,18,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Вечером он с Петей отправляет очередное письмо.,5.0,Manina_2022_1,E,21,3,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Вечером он со Стёпой слушает иностранные песни.,5.714285714285714,Manina_2022_1,C,156,18,comitative,3rd person pronoun,coordination,stimul,6.0,"comitative, 3rd person pronoun"
Вечером они с Петей отправляют очередное письмо.,4.8,Manina_2022_1,H,24,3,inclusory comitative,3rd person pronoun,coordination,stimul,5.0,"inclusory comitative, 3rd person pronoun"
Вечером они со Стёпой слушают иностранные песни.,6.1,Manina_2022_1,F,159,18,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Вечером ты и Петя отправляете очередное письмо.,4.833333333333333,Manina_2022_1,A,26,3,conjunction,2nd person pronoun,coordination,stimul,5.0,"conjunction, 2nd person pronoun"
Вечером ты и Стёпа слушаете иностранные песни.,4.5,Manina_2022_1,H,161,18,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Вечером ты с Петей отправляешь очередное письмо.,4.5,Manina_2022_1,D,20,3,comitative,2nd person pronoun,coordination,stimul,4.0,"comitative, 2nd person pronoun"
Вечером ты со Стёпой слушаешь иностранные песни.,5.0,Manina_2022_1,B,155,18,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Вечером я и Петя отправляем очередное письмо.,5.416666666666667,Manina_2022_1,I,25,3,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Вечером я и Стёпа слушаем иностранные песни.,5.75,Manina_2022_1,G,160,18,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Вечером я с Петей отправляю очередное письмо.,5.714285714285714,Manina_2022_1,C,19,3,comitative,1st person pronoun,coordination,stimul,6.0,"comitative, 1st person pronoun"
Вечером я со Стёпой слушаю иностранные песни.,5.428571428571429,Manina_2022_1,A,154,18,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Завтра вы с Борей исполняете вариации Баха.,5.125,Manina_2022_1,E,5,1,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Завтра вы с Лизой измеряете скорость чтения.,5.857142857142857,Manina_2022_1,A,122,14,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Завтра вы с Никитой заполняете бумаги дедушки.,5.333333333333333,Manina_2022_1,D,239,27,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Завтра и я Боря исполняем вариации Баха.,3.375,Manina_2022_1,G,7,1,conjunction,1st person pronoun,coordination,stimul,3.0,"conjunction, 1st person pronoun"
Завтра мы с Борей исполняем вариации Баха.,6.0,Manina_2022_1,D,4,1,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Завтра мы с Лизой измеряем скорость чтения.,5.416666666666667,Manina_2022_1,I,121,14,inclusory comitative,1st person pronoun,coordination,stimul,5.0,"inclusory comitative, 1st person pronoun"
Завтра мы с Никитой заполняем бумаги дедушки.,5.857142857142857,Manina_2022_1,C,238,27,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Завтра он и Боря исполняют вариации Баха.,4.416666666666667,Manina_2022_1,I,9,1,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
