author,sentence,response,response_round,subtype,type,lexicalization,condition,head_noun,head_gender,agreement
Dorofeeva_2023,"Каждая, кто взошла на пик Эвереста, уважает бывалых скалолазов.",5.714285714285714,6.0,relative_clauses,stimul,33,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая мать, кто явилась на собрание родителей, расспрашивает классного руководителя.",4.142857142857143,4.0,relative_clauses,stimul,34,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая, кто сыграл в картине режиссёра, получает золотую статуэтку.",4.285714285714286,4.0,relative_clauses,stimul,1,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого, благодаря кому прошла предвыборная кампания, благодарит победивший кандидат.",4.597938144329897,5.0,good,filler,37,good,,,
Dorofeeva_2023,"Каждая заключённая, кто преуспел в пошиве халатов, ожидает досрочное освобождение.",2.571428571428572,3.0,relative_clauses,stimul,23,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую магистрантку, кто отучился на факультете политики, помнит молодой преподаватель.",4.8,5.0,relative_clauses,stimul,9,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая, кто прибыла на берег океана, испытывает незабываемое ощущение.",5.375,5.0,relative_clauses,stimul,17,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая, кто бывал в столице Китая, любит местную кухню.",5.0,5.0,relative_clauses,stimul,15,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую заводчицу, кто пришёл на выставку собак, сопровождает померанский шпиц.",5.428571428571429,5.0,relative_clauses,stimul,12,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждый заводчик, кто пришёл на выставку собак, держит померанского шпица.",3.625,4.0,relative_clauses,stimul,12,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждый, кто отобрался в сборную страны, выбирает опытного тренера.",5.375,5.0,relative_clauses,stimul,11,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую, к кому пришла страшная беда, поддерживает опытный психолог.",5.212121212121212,5.0,good,filler,37,good,,,
Dorofeeva_2023,"Каждого кавалера, кто пришёл на вечер танцев, сопровождает изящная дама.",5.375,5.0,relative_clauses,stimul,25,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую пользовательницу, кто зарегистрировался на сайте знакомств, устраивает подобранный партнёр.",4.125,4.0,relative_clauses,stimul,19,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого, благодаря кому состоялось грандиозному выступление, хвалит главный постановщик.",3.05,3.0,bad,filler,37,bad,,,
Dorofeeva_2023,"Каждую, кто приехал на шоу талантов, поддерживает понимающий ведущий.",4.666666666666667,5.0,relative_clauses,stimul,10,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого медбрата, кто дежурил на месте катастрофы, выделяет невероятная смелость.",4.666666666666667,5.0,relative_clauses,stimul,5,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого прихожанина, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.888888888888889,6.0,relative_clauses,stimul,27,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого ученика, кто опоздал к началу урока, выгоняет сердитая учительница.",5.285714285714286,5.0,relative_clauses,stimul,30,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая преступница, кто воровала в магазине продуктов, отрицает совершённое преступление.",4.142857142857143,4.0,relative_clauses,stimul,14,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая сотрудница, кто поступил на должность бухгалтера, осваивает новую программу.",4.285714285714286,4.0,relative_clauses,stimul,7,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую, про кого слагалась красивая история, почитает местное население.",4.760416666666667,5.0,good,filler,37,good,,,
Dorofeeva_2023,"Каждый преступник, кто воровал в магазине продуктов, отрицает совершённое преступление.",5.0,5.0,relative_clauses,stimul,14,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую, кто ночевал в общежитии университета, возмущает любое неудобство.",4.125,4.0,relative_clauses,stimul,6,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого аспиранта, кто сходил на семинар профессора, смущает изложенная теория.",5.166666666666667,5.0,relative_clauses,stimul,26,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
