sentence,response,response_round,type,lexicalization,condition
Эта тысяча учеников отправилась на экзамен.,5.2,5.0,stimul,2.0,"singular premodifier, singular verb"
Захар прочитал детективный и фантастический рассказ по моей просьбе.,5.111111111111111,5.0,stimul,9.0,"same, singular, numeral_no"
"Или я, или Гоша начнём этот непростой разговор.",4.3,4.0,stimul,28.0,"1pl, or_or"
В левом бедре разрушается протез и кость.,3.571428571428572,4.0,stimul,30.0,"nonsymmetric, singular verb, VS"
В учебных кабинетах подметём мы все.,3.75,4.0,stimul,41.0,"we, nom, 1pl"
"По железной дороге, ведущей в Тулу, ехали четыре вагона.",5.461538461538462,5.0,stimul,29.0,"plural verb, VS, non-feminine noun"
"Три веранды выходило на оживлённую улицу, проходившую через центр.",3.1538461538461537,3.0,stimul,9.0,"singular verb, SV, feminine noun"
Знакомый обзаведется одноэтажным и двухэтажным домом.,5.153846153846154,5.0,stimul,24.0,"singular, and"
Письмо от ректора читаем ты и я.,4.269230769230769,4.0,stimul,11.0,"you_I, 1pl"
Вечером они с Петей отправляют очередное письмо.,4.8,5.0,stimul,3.0,"inclusory comitative, 3rd person pronoun"
На прошлой неделе Ксюша прослушала части фортепианного и скрипичного концертов.,6.363636363636363,6.0,stimul,32.0,"plural, and"
Я и Миша сдам вступительный экзамен.,3.1,3.0,stimul,8.0,"1sg, and"
"Многие мальчики, кто побежит в эстафете, пропустят уроки.",3.5,4.0,stimul,28.0,"with head noun, singular verb"
"И Гена, и я продолжу заочное обучение.",1.9,2.0,stimul,15.0,"1sg, and_and"
За поломанные инструменты ответим мы все.,4.875,5.0,stimul,35.0,"we, nom, 1pl"
На выходных Маша и Рита сходили в поход.,6.376923076923077,6.0,filler,,good
Парикмахер будет использовать дорогой и дешевый шампуни.,5.0,5.0,stimul,26.0,"plural, and"
Обычно вы с Соней осознаёте возможные риски.,5.733333333333333,6.0,stimul,15.0,"inclusory comitative, 2nd person pronoun"
Антон положил красные и шесть зеленых карандашей в новый пенал.,4.0,4.0,stimul,27.0,"different-in-numeral, plural, numeral_yes"
"Каждая, кто отучилась на факультете политики, помнит молодого преподавателя.",4.857142857142857,5.0,stimul,9.0,"no head noun, feminine head, feminine verb"
Утром вы с Сашей обсуждаете планы занятий.,5.428571428571429,5.0,stimul,9.0,"inclusory comitative, 2nd person pronoun"
Эта тысяча преподавателей выступалиЭти тысяча заказчиков настаивали на рассрочке за реформу.,1.0,1.0,stimul,10.0,"singular premodifier, plural verb"
"Или я, или Костя расскажу эту интересную историю.",3.1,3.0,stimul,8.0,"1sg, or_or"
На следующем шаге вычитаются икс и игрек.,4.833333333333333,5.0,stimul,11.0,"nonsymmetric, plural verb, VS"
Я и ты строим крепость из снега.,4.615384615384615,5.0,stimul,30.0,"I_you, 1pl"
Почта ждала этих тысячи писем.,3.1666666666666665,3.0,tisyacha,11.0,"gen, unanimated"
