author,sentence,response,response_round,subtype,type,lexicalization,condition,head_noun,agreement
Golovnina_2022,"Те, кто отступит от правил, покинут команду.",4.625,5.0,relative_clauses,stimul,25.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто успеет к началу, снимут режиссера.",4.333333333333333,4.0,relative_clauses,stimul,29.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те демонстранты, которые выйдут на площадь, прокричат лозунги.",5.447058823529412,5.0,good,filler,501.0,good,,
Golovnina_2022,"Те дети, кто устанет на экскурсии, проспят завтрак.",4.0,4.0,relative_clauses,stimul,22.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все преступники, кто сбежит из тюрьмы, понесут наказание.",4.0,4.0,relative_clauses,stimul,23.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто добежит до финиша, получат медаль.",4.882352941176471,5.0,relative_clauses,stimul,9.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто попадет на съезд, выиграют гранты.",4.818181818181818,5.0,relative_clauses,stimul,14.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто попадет в список, пройдут собеседование.",5.777777777777778,6.0,relative_clauses,stimul,11.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто застрянут в пробке, потеряют время.",6.714285714285714,7.0,relative_clauses,stimul,6.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те журналисты, кто попадут на премьеру, опубликуют репортаж.",3.764705882352941,4.0,relative_clauses,stimul,10.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто переедет в санаторий, продолжат лечение.",5.857142857142857,6.0,relative_clauses,stimul,15.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те студенты, кто ответят на экзамене, получат пятерки.",5.7,6.0,relative_clauses,stimul,5.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто переедут в санаторий, продолжат лечение.",5.333333333333333,5.0,relative_clauses,stimul,15.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те спасатели, которые войдут в здание, освободит жертв.",2.211764705882353,2.0,bad,filler,501.0,bad,,
Golovnina_2022,"Все работники, кто вступят в профсоюз, получат привилегии.",4.666666666666667,5.0,relative_clauses,stimul,13.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто прилетят из-за границы, привезут сувениры.",5.176470588235294,5.0,relative_clauses,stimul,8.0,"no head noun, plural verb",no head noun,plural verb
