experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,conjuncts,agreement,conjunction,order
Davidjuk_2023,"И я, и Никита попросит дополнительный отгул.",3.0,3.0,coordination,stimul,10,79,I_noun,3sg,and_and,SV
Davidjuk_2023,Влад и я покажу короткую дорогу.,2.4444444444444446,2.0,coordination,stimul,13,97,noun_I,1sg,and,SV
Davidjuk_2023,"Или Митя, или я составит этот длинный список.",2.2,2.0,coordination,stimul,29,231,noun_I,3sg,or_or,SV
Davidjuk_2023,Лёва оформит этот деловой договор.,6.440251572327044,6.0,good,filler,33,263,,,,
Davidjuk_2023,Миша заплатит крупный штраф.,6.509433962264151,7.0,good,filler,33,272,,,,
Davidjuk_2023,Гена или я раскроют это подлое преступление.,3.6,4.0,coordination,stimul,23,180,noun_I,3pl,or,SV
Davidjuk_2023,Я и Слава получит двойную зарплату.,2.3,2.0,coordination,stimul,5,35,I_noun,3sg,and,SV
Davidjuk_2023,"Или Вадим, или я соберёт этот нужный материал.",2.4,2.0,coordination,stimul,9,71,noun_I,3sg,or_or,SV
Davidjuk_2023,Я или Андрей увидит этот кукольный спектакль.,3.6,4.0,coordination,stimul,2,11,I_noun,3sg,or,SV
Davidjuk_2023,"Или я, или Костя расскажут эту интересную историю.",3.4444444444444446,3.0,coordination,stimul,8,64,I_noun,3pl,or_or,SV
Davidjuk_2023,"Или я, или Лёва произнесёт эту торжественную речь.",3.6,4.0,coordination,stimul,30,239,I_noun,3sg,or_or,SV
Davidjuk_2023,"И Вадим, и я соберут нужный материал.",2.888888888888889,3.0,coordination,stimul,23,184,noun_I,3pl,and_and,SV
Davidjuk_2023,Никита или я побелят этот высокий потолок.,3.555555555555556,4.0,coordination,stimul,20,156,noun_I,3pl,or,SV
Davidjuk_2023,Я и Стёпа попробуют яблочный пирог.,2.1,2.0,coordination,stimul,9,68,I_noun,3pl,and,SV
Davidjuk_2023,"Или я, или Лёва произнесу эту торжественную речь.",1.8,2.0,coordination,stimul,30,237,I_noun,1sg,or_or,SV
Davidjuk_2023,"Или Гриша, или я переведу эту английскую фразу.",4.1,4.0,coordination,stimul,25,197,noun_I,1sg,or_or,SV
Davidjuk_2023,Гриша или я переведу эту английскую фразу.,2.6,3.0,coordination,stimul,25,193,noun_I,1sg,or,SV
Davidjuk_2023,"Или я, или Паша посетят этот научный семинар.",3.5,4.0,coordination,stimul,16,128,I_noun,3pl,or_or,SV
Davidjuk_2023,"И Миша, и я сдам вступительный экзамен.",3.3,3.0,coordination,stimul,8,61,noun_I,1sg,and_and,SV
Davidjuk_2023,"Или Максим, или я приобретём этот старинный дом.",5.3,5.0,coordination,stimul,22,174,noun_I,1pl,or_or,SV
Davidjuk_2023,Я и Боря подготовят промежуточный отчёт.,2.8,3.0,coordination,stimul,21,164,I_noun,3pl,and,SV
Davidjuk_2023,Я или Андрей увидят этот кукольный спектакль.,3.0,3.0,coordination,stimul,2,12,I_noun,3pl,or,SV
Davidjuk_2023,"И я, и Олег уточнят необходимую информацию.",4.5,4.0,coordination,stimul,14,112,I_noun,3pl,and_and,SV
Davidjuk_2023,"И я, и Лёва решат сложную задачу.",2.4,2.0,coordination,stimul,25,200,I_noun,3pl,and_and,SV
Davidjuk_2023,"И я, и Андрей увижу кукольный спектакль.",3.3,3.0,coordination,stimul,4,29,I_noun,1sg,and_and,SV
Davidjuk_2023,Я и Гриша сыграет шахматную партию.,2.1,2.0,coordination,stimul,29,227,I_noun,3sg,and,SV
Davidjuk_2023,Гоша или я начну этот непростой разговор.,4.3,4.0,coordination,stimul,28,217,noun_I,1sg,or,SV
Davidjuk_2023,Никита и я внесут небольшой аванс.,2.4,2.0,coordination,stimul,31,244,noun_I,3pl,and,SV
Davidjuk_2023,Вова или я споёт эту весёлую песню.,3.1,3.0,coordination,stimul,3,19,noun_I,3sg,or,SV
Davidjuk_2023,Максим или я приобретёт этот старинный дом.,4.111111111111111,4.0,coordination,stimul,22,171,noun_I,3sg,or,SV
Davidjuk_2023,Никита и я попросит дополнительный отгул.,2.9,3.0,coordination,stimul,10,75,noun_I,3sg,and,SV
