experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,agreement,order,gender,animacy,condition
Orlov_2023,"В большом сундуке, помещенном в кладовку, находились два покрывала.",5.769230769230769,6.0,quantitative_nouns,stimul,28,223,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Четыре журнала лежали на зеленой скамейке, стоящей у подъезда.",6.333333333333333,6.0,quantitative_nouns,stimul,23,179,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"На дубовом шкафу, расположенном у камина, стояло два стакана.",6.214285714285714,6.0,quantitative_nouns,stimul,1,8,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Три дуба росло на дачном участке, выходящем к реке.",5.714285714285714,6.0,quantitative_nouns,stimul,21,164,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"Два кольца лежали в маленьком пенале, валявшемся в портфеле.",5.166666666666667,5.0,quantitative_nouns,stimul,19,147,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Три танкера приплыли к восточному порту, расположенному в пригороде.",5.75,6.0,quantitative_nouns,stimul,12,91,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Четыре машины ехало по скоростной дороге,  проходящей через мегаполис.",5.214285714285714,5.0,quantitative_nouns,stimul,5,34,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"На узкую тропу, проходящую через лес, упали три березы.",6.153846153846154,6.0,quantitative_nouns,stimul,15,117,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"В маленьком пенале, валявшемся в портфеле, лежали две ручки.",5.6923076923076925,6.0,quantitative_nouns,stimul,19,149,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"Три провода валялось на верхней антресоли, располагавшейся в прихожей.",5.0,5.0,quantitative_nouns,stimul,27,212,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"В модном бутике, открывшемся в центре города, появились две юбки.",5.076923076923077,5.0,quantitative_nouns,stimul,22,173,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"Четыре одеяла лежали на большой кровати, находящейся в спальне.",5.2727272727272725,5.0,quantitative_nouns,stimul,11,83,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
