author,sentence,response,group,sentence_id,lexicalization,conjunction,case,number,filler_type,type,response_round,condition
Borisova_2024,Во вторник Тася постирала рукава фиолетовой и желтой водолазок.,6.090909090909091,B,52,20,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,Перед концертом Аня настроила классическую и гавайскую гитару.,4.909090909090909,G,199,7,and,accusative,singular,,stimul,5.0,"singular, and"
Borisova_2024,"В командировке Даша посетила и столичный, и провинциальный города.",4.545454545454546,A,22,22,and…and,accusative,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"В пятницу Коля перекрасил и спальную, и детскую комнату.",5.083333333333333,E,140,12,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,Во время похода Гриша сфотографировал берега глубокой и мелкой реки.,5.363636363636363,F,178,18,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,В четверг Леня посмотрел отрывки итальянского и немецкого фильма.,4.714285714285714,D,104,8,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,Во время звонка Эля сломала старый и новый телефон.,3.8333333333333335,A,9,9,and,accusative,singular,,stimul,4.0,"singular, and"
Borisova_2024,В пятницу Коля перекрасил стены спальной и детской комнат.,6.2727272727272725,B,44,12,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,За обедом Костя съел остатки капустного и яблочного пирога.,4.916666666666667,G,219,27,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,За обедом Костя съел капустный и яблочный пироги.,6.333333333333333,E,155,27,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,За обедом Костя съел капустный и яблочный пирог.,5.5,C,91,27,and,accusative,singular,,stimul,6.0,"singular, and"
Borisova_2024,"После поломки Витя отремонтировал и большой, и маленький чемоданы.",6.25,A,30,30,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,На занятии Вася повредил динамики стационарного и портативного компьютера.,4.333333333333333,E,145,17,and,genitive,singular,,stimul,4.0,"singular, and"
Borisova_2024,После аварии Миша поменял личный и рабочий автомобили.,5.125,C,65,1,and,accusative,plural,,stimul,5.0,"plural, and"
Borisova_2024,Во время уборки Таня почистила подлокотники кожаного и плюшевого диванов.,6.153846153846154,D,102,6,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"Перед уходом Ира закрыла и книжный, и платяной шкаф.",5.571428571428571,D,99,3,and…and,accusative,singular,,stimul,6.0,"singular, and…and"
Borisova_2024,"На празднике Катя прочитала строки и латинской, и древнегреческой оды.",5.166666666666667,A,4,4,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"В пятницу Коля перекрасил и спальную, и детскую комнаты.",5.166666666666667,G,204,12,and…and,accusative,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,На каникулах Света перешила шелковую и ситцевую блузки.,6.0,G,221,29,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"В декабре Юра включил и белую, и разноцветную гирлянду.",5.0,E,156,28,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"За обедом Костя съел и капустный, и яблочный пироги.",5.923076923076923,F,187,27,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"После аварии Миша поменял колеса и личного, и рабочего автомобилей.",6.083333333333333,H,225,1,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"На каникулах Света перешила пуговицы и шелковой, и ситцевой блузок.",5.428571428571429,D,125,29,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"В командировке Даша посетила музеи и столичного, и провинциального города.",4.666666666666667,C,86,22,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"На прошлой неделе Ксюша прослушала части и фортепианного, и скрипичного концертов.",5.25,G,224,32,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
