author,sentence,response,response_round,subtype,type,lexicalization,condition,number,conjunction
Borisova_2024,"Перед уроком Настя испачкала страницы и толстой, и тонкой книг.",4.5,4.0,coordination,stimul,26,"plural, and…and",plural,and…and
Borisova_2024,В марте Лиза посадила саженцы русского и американского клена.,6.0,6.0,coordination,stimul,16,"singular, and",singular,and
Borisova_2024,За час до выхода Игорь записала адрес и номер.,1.947368421052632,2.0,bad,filler,33,bad,,
Borisova_2024,Во время звонка Эля сломала старый и новый телефон.,3.8333333333333335,4.0,coordination,stimul,9,"singular, and",singular,and
Borisova_2024,После поломки Витя отремонтировал колесики большого и маленького чемоданов.,6.0,6.0,coordination,stimul,30,"plural, and",plural,and
Borisova_2024,"Перед спектаклем Петя вымыл и черную, и парадную лестницы.",6.181818181818182,6.0,coordination,stimul,15,"plural, and…and",plural,and…and
Borisova_2024,"На прошлой неделе Ксюша прослушала и фортепианный, и скрипичный концерт.",5.083333333333333,5.0,coordination,stimul,32,"singular, and…and",singular,and…and
Borisova_2024,"Во время прогулки Дима нашел иголки и сибирской, и китайской ели.",4.916666666666667,5.0,coordination,stimul,2,"singular, and…and",singular,and…and
Borisova_2024,"После аварии Миша поменял колеса и личного, и рабочего автомобилей.",6.083333333333333,6.0,coordination,stimul,1,"plural, and…and",plural,and…and
Borisova_2024,"За каникулы Варя вспомнила правила и английского, и французского языков.",6.090909090909091,6.0,coordination,stimul,19,"plural, and…and",plural,and…and
Borisova_2024,"Во время похода Гриша сфотографировал берега и глубокой, и мелкой рек.",5.333333333333333,5.0,coordination,stimul,18,"plural, and…and",plural,and…and
Borisova_2024,В среду Сеня выучил алгебраическую и геометрическую теорему.,3.9,4.0,coordination,stimul,5,"singular, and",singular,and
Borisova_2024,На каникулах Света перешила пуговицы шелковой и ситцевой блузки.,4.416666666666667,4.0,coordination,stimul,29,"singular, and",singular,and
Borisova_2024,"В День Рождения дочки Рита подарил наборы и раскрасок, и кукол.",1.819148936170213,2.0,bad,filler,33,bad,,
Borisova_2024,После аварии Миша поменял личный и рабочий автомобиль.,4.181818181818182,4.0,coordination,stimul,1,"singular, and",singular,and
Borisova_2024,Перед спектаклем Петя вымыл черную и парадную лестницу.,5.0,5.0,coordination,stimul,15,"singular, and",singular,and
Borisova_2024,В командировке Даша посетила музеи столичного и провинциального городов.,5.0,5.0,coordination,stimul,22,"plural, and",plural,and
Borisova_2024,"При переезде Даня помял и картонную, и жестяную коробку.",5.0,5.0,coordination,stimul,31,"singular, and…and",singular,and…and
Borisova_2024,"За обедом Костя съел и капустный, и яблочный пироги.",5.923076923076923,6.0,coordination,stimul,27,"plural, and…and",plural,and…and
Borisova_2024,Перед уроком Настя испачкала толстую и тонкую книги.,5.428571428571429,5.0,coordination,stimul,26,"plural, and",plural,and
Borisova_2024,За минуту Лера угадала имена и фамилии.,6.178947368421053,6.0,good,filler,33,good,,
Borisova_2024,"Во время уборки Таня почистила подлокотники и кожаного, и плюшевого дивана.",4.888888888888889,5.0,coordination,stimul,6,"singular, and…and",singular,and…and
Borisova_2024,"Перед концертом Аня настроила струны и классической, и гавайской гитар.",5.615384615384615,6.0,coordination,stimul,7,"plural, and…and",plural,and…and
Borisova_2024,"После представления Егор оставила шнурки и ботинок, и туфель.",1.553191489361702,2.0,bad,filler,33,bad,,
Borisova_2024,"Перед концертом Аня настроила и классическую, и гавайскую гитару.",5.25,5.0,coordination,stimul,7,"singular, and…and",singular,and…and
Borisova_2024,Во время ужина Поля разбила предметы чайного и кофейного сервиза.,4.666666666666667,5.0,coordination,stimul,25,"singular, and",singular,and
Borisova_2024,За выходные Вика заштопала лыжную и охотничью куртки.,5.833333333333333,6.0,coordination,stimul,23,"plural, and",plural,and
Borisova_2024,В декабре Юра включил белую и разноцветную гирлянды.,5.5,6.0,coordination,stimul,28,"plural, and",plural,and
Borisova_2024,После отпуска Маша подлатала ручки замшевой и холщовой сумок.,6.25,6.0,coordination,stimul,13,"plural, and",plural,and
Borisova_2024,За выходные Вика заштопала карманы лыжной и охотничьей куртки.,5.125,5.0,coordination,stimul,23,"singular, and",singular,and
Borisova_2024,Во время ужина Поля разбила предметы чайного и кофейного сервизов.,5.333333333333333,5.0,coordination,stimul,25,"plural, and",plural,and
Borisova_2024,"За выходные Вика заштопала и лыжную, и охотничью куртку.",5.416666666666667,5.0,coordination,stimul,23,"singular, and…and",singular,and…and
Borisova_2024,Во время похода Гриша сфотографировал глубокую и мелкую реки.,5.785714285714286,6.0,coordination,stimul,18,"plural, and",plural,and
Borisova_2024,"Во время уборки Таня почистила и кожаный, и плюшевый диваны.",5.166666666666667,5.0,coordination,stimul,6,"plural, and…and",plural,and…and
Borisova_2024,"В среду Сеня выучил и алгебраическую, и геометрическую теоремы.",5.916666666666667,6.0,coordination,stimul,5,"plural, and…and",plural,and…and
Borisova_2024,Перед уборкой Ира закрыла книжный и платяной шкаф.,4.666666666666667,5.0,coordination,stimul,3,"singular, and",singular,and
Borisova_2024,На каникулах Света перешила шелковую и ситцевую блузку.,4.916666666666667,5.0,coordination,stimul,29,"singular, and",singular,and
Borisova_2024,Перед концертом Аня настроила классическую и гавайскую гитару.,4.909090909090909,5.0,coordination,stimul,7,"singular, and",singular,and
Borisova_2024,"В пятницу Коля перекрасил и спальную, и детскую комнаты.",5.166666666666667,5.0,coordination,stimul,12,"plural, and…and",plural,and…and
Borisova_2024,В командировке Даша посетила столичный и провинциальный города.,5.25,5.0,coordination,stimul,22,"plural, and",plural,and
Borisova_2024,"На концерте Степа спел куплеты и дореволюционной, и советской песен.",4.714285714285714,5.0,coordination,stimul,21,"plural, and…and",plural,and…and
