experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,agreement,head,noun_type,order,case
Pasko_2024,В офисе большинство конфликтов разрешает менеджере.,2.1044776119402986,2.0,bad,filler,505,506,sg,noun,bolshinstvo,VS,
Pasko_2024,На улице стены красит двенадцать маляров.,3.555555555555556,4.0,quantitative_nouns,stimul,27,211,sg,num,12.0,VS,nominative
Pasko_2024,Треть почтальонов разносят письма по понедельникам.,6.0,6.0,quantitative_nouns,stimul,28,222,pl,noun,tret,SV,nominative
Pasko_2024,В мае экзамен сдает сорок первокурсников.,5.142857142857143,5.0,quantitative_nouns,stimul,1,3,sg,num,40.0,VS,nominative
Pasko_2024,По понедельникам письма разносит треть почтальонов.,5.25,5.0,quantitative_nouns,stimul,28,223,sg,noun,tret,VS,nominative
Pasko_2024,Большинство певцов исполняют романсы на конкурсе.,5.888888888888889,6.0,quantitative_nouns,stimul,3,22,pl,noun,bolshinstvo,SV,nominative
Pasko_2024,В ресторане три стола бронирует владелец.,5.235294117647059,5.0,good,filler,505,518,sg,num,3.0,VS,
Pasko_2024,Пара прохожих пережидают дождь под навесом.,5.25,5.0,quantitative_nouns,stimul,13,102,pl,noun,para,SV,nominative
Pasko_2024,Двадцать слушателей ведет конспекты на лекции.,4.25,4.0,quantitative_nouns,stimul,4,25,sg,num,20.0,SV,nominative
Pasko_2024,По утрам пациентов обходят восемнадцать врачей.,6.0,6.0,quantitative_nouns,stimul,8,60,pl,num,18.0,VS,nominative
Pasko_2024,Пятнадцать прохожих пережидают дождь под навесом.,6.4,6.0,quantitative_nouns,stimul,13,98,pl,num,15.0,SV,nominative
Pasko_2024,В июне переподготовку проходит треть учителей.,6.375,6.0,quantitative_nouns,stimul,29,231,sg,noun,tret,VS,nominative
Pasko_2024,На берегу рыбу ловят девять пенсионеров.,5.375,5.0,quantitative_nouns,stimul,12,92,pl,num,9.0,VS,nominative
Pasko_2024,Четыреста выпускников получает дипломы во вторник.,4.2,4.0,quantitative_nouns,stimul,30,233,sg,num,400.0,SV,nominative
Pasko_2024,В театре пять рядов занимают школьники.,6.114285714285714,6.0,good,filler,505,511,pl,num,5.0,VS,
Pasko_2024,Половина фанатов ждут артиста у выхода.,5.125,5.0,quantitative_nouns,stimul,20,158,pl,noun,polovina,SV,nominative
Pasko_2024,Большинство депутатов поддерживают законопроект в столице.,4.75,5.0,quantitative_nouns,stimul,2,14,pl,noun,bolshinstvo,SV,nominative
Pasko_2024,Пятнадцать родителей убирают листья на субботнике.,5.625,6.0,quantitative_nouns,stimul,31,242,pl,num,15.0,SV,nominative
Pasko_2024,Сорок первокурсников сдает экзамен в мае.,3.8,4.0,quantitative_nouns,stimul,1,1,sg,num,40.0,SV,nominative
Pasko_2024,Восемь отличников обсуждает контрольную на перемене.,4.875,5.0,quantitative_nouns,stimul,18,137,sg,num,8.0,SV,nominative
Pasko_2024,Тринадцать детей читает стихи на концерте.,3.333333333333333,3.0,quantitative_nouns,stimul,32,249,sg,num,13.0,SV,nominative
Pasko_2024,Двенадцать соседей паркуют автомобили во дворе.,5.875,6.0,quantitative_nouns,stimul,25,194,pl,num,12.0,SV,nominative
Pasko_2024,На аукционе треть скульптур покупаешь коллекционеры.,1.8142857142857145,2.0,bad,filler,505,531,pl,noun,tret,VS,
Pasko_2024,Шестьдесят учителей проходят переподготовку в июне.,6.1,6.0,quantitative_nouns,stimul,29,226,pl,num,60.0,SV,nominative
Pasko_2024,Восемь механиков чинит двигатели в автосервисе.,4.0,4.0,quantitative_nouns,stimul,14,105,sg,num,8.0,SV,nominative
Pasko_2024,Треть детей читают стихи на концерте.,5.333333333333333,5.0,quantitative_nouns,stimul,32,254,pl,noun,tret,SV,nominative
Pasko_2024,На перемене контрольную обсуждают восемь отличников.,6.4,6.0,quantitative_nouns,stimul,18,140,pl,num,8.0,VS,nominative
Pasko_2024,На рынке овощи выбирает пара покупателей.,4.5,4.0,quantitative_nouns,stimul,11,87,sg,noun,para,VS,nominative
Pasko_2024,Кинокритик смотрит пару фильмов в неделю.,5.955882352941177,6.0,good,filler,505,512,sg,noun,para,SV,
Pasko_2024,В университеты документы подают тринадцать одноклассников.,6.0,6.0,quantitative_nouns,stimul,26,204,pl,num,13.0,VS,nominative
Pasko_2024,Для фестиваля номера готовят половина музыкантов.,4.0,4.0,quantitative_nouns,stimul,22,176,pl,noun,polovina,VS,nominative
Pasko_2024,По праздникам церковь посещает двести прихожан.,5.333333333333333,5.0,quantitative_nouns,stimul,7,51,sg,num,200.0,VS,nominative
Pasko_2024,На субботнике листья убирает треть родителей.,5.333333333333333,5.0,quantitative_nouns,stimul,31,247,sg,noun,tret,VS,nominative
Pasko_2024,Семьдесят рабочих планируют забастовку на заводе.,5.75,6.0,quantitative_nouns,stimul,17,130,pl,num,70.0,SV,nominative
Pasko_2024,По понедельникам письма разносят треть почтальонов.,3.25,3.0,quantitative_nouns,stimul,28,224,pl,noun,tret,VS,nominative
Pasko_2024,Пара пенсионеров ловят рыбу на берегу.,5.2,5.0,quantitative_nouns,stimul,12,94,pl,noun,para,SV,nominative
Pasko_2024,С детства китайский знают шестнадцать переводчиков.,3.75,4.0,quantitative_nouns,stimul,24,188,pl,num,16.0,VS,nominative
Pasko_2024,На репетиции реплики забывает большинство актеров.,5.285714285714286,5.0,quantitative_nouns,stimul,6,47,sg,noun,bolshinstvo,VS,nominative
Pasko_2024,Половина музыкантов готовят номера для фестиваля.,4.625,5.0,quantitative_nouns,stimul,22,174,pl,noun,polovina,SV,nominative
Pasko_2024,На берегу рыбу ловят пара пенсионеров.,4.125,4.0,quantitative_nouns,stimul,12,96,pl,noun,para,VS,nominative
Pasko_2024,Пара механиков чинит двигатели в автосервисе.,6.0,6.0,quantitative_nouns,stimul,14,109,sg,noun,para,SV,nominative
Pasko_2024,Треть одноклассников подают документы в университеты.,5.25,5.0,quantitative_nouns,stimul,26,206,pl,noun,tret,SV,nominative
Pasko_2024,На субботнике листья убирают пятнадцать родителей.,6.25,6.0,quantitative_nouns,stimul,31,244,pl,num,15.0,VS,nominative
Pasko_2024,На концерте стихи читают треть детей.,4.75,5.0,quantitative_nouns,stimul,32,256,pl,noun,tret,VS,nominative
Pasko_2024,В гимназии французский учит половина семиклассников.,6.125,6.0,quantitative_nouns,stimul,19,151,sg,noun,polovina,VS,nominative
Pasko_2024,В автосервисе двигатели чинят восемь механиков.,4.6,5.0,quantitative_nouns,stimul,14,108,pl,num,8.0,VS,nominative
Pasko_2024,В аэропорту багаж ждет двадцать туристов.,5.25,5.0,quantitative_nouns,stimul,10,75,sg,num,20.0,VS,nominative
Pasko_2024,На улице стены красит треть маляров.,3.6,4.0,quantitative_nouns,stimul,27,215,sg,noun,tret,VS,nominative
Pasko_2024,На репетиции реплики забывает девять актеров.,3.2222222222222223,3.0,quantitative_nouns,stimul,6,43,sg,num,9.0,VS,nominative
Pasko_2024,Пара пенсионеров ловит рыбу на берегу.,6.0,6.0,quantitative_nouns,stimul,12,93,sg,noun,para,SV,nominative
Pasko_2024,Сорок почтальонов разносит письма по понедельникам.,4.75,5.0,quantitative_nouns,stimul,28,217,sg,num,40.0,SV,nominative
Pasko_2024,Треть одноклассников подает документы в университеты.,6.2,6.0,quantitative_nouns,stimul,26,205,sg,noun,tret,SV,nominative
Pasko_2024,Десять певцов исполняют романсы на конкурсе.,5.125,5.0,quantitative_nouns,stimul,3,18,pl,num,10.0,SV,nominative
Pasko_2024,Половина переводчиков знает китайский с детства.,5.5,6.0,quantitative_nouns,stimul,24,189,sg,noun,polovina,SV,nominative
Pasko_2024,Пара сотрудников отправляет отчеты по пятницам.,5.333333333333333,5.0,quantitative_nouns,stimul,9,69,sg,noun,para,SV,nominative
Pasko_2024,Перед спектаклем половину балерин гримируют профессионалы.,5.942028985507246,6.0,good,filler,505,523,pl,noun,polovina,VS,
Pasko_2024,Фермером собирает половину яблок в сентябре.,2.028985507246377,2.0,bad,filler,505,520,sg,noun,polovina,SV,
Pasko_2024,Большинство министров содержат жилье за границей.,4.5,4.0,quantitative_nouns,stimul,5,38,pl,noun,bolshinstvo,SV,nominative
Pasko_2024,Девять пенсионеров ловят рыбу на берегу.,6.666666666666667,7.0,quantitative_nouns,stimul,12,90,pl,num,9.0,SV,nominative
Pasko_2024,Во дворе автомобили паркует треть соседей.,4.571428571428571,5.0,quantitative_nouns,stimul,25,199,sg,noun,tret,VS,nominative
Pasko_2024,Во вторник дипломы получают треть выпускников.,4.888888888888889,5.0,quantitative_nouns,stimul,30,240,pl,noun,tret,VS,nominative
Pasko_2024,Двадцать туристов ждет багаж в аэропорту.,4.375,4.0,quantitative_nouns,stimul,10,73,sg,num,20.0,SV,nominative
Pasko_2024,В аэропорту багаж ждет пара туристов.,5.0,5.0,quantitative_nouns,stimul,10,79,sg,noun,para,VS,nominative
