experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,head_noun,agreement,quant,head_case,head_gender
Dorofeeva_2023,"Каждая сотрудница, кто поступил на должность бухгалтера, осваивает новую программу.",4.285714285714286,4.0,relative_clauses,stimul,7,7,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая школьница, кто был на уроке труда, ест приготовленный суп.",2.0,2.0,relative_clauses,stimul,22,22,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая певица, кто приехал на шоу талантов, благодарит понимающего ведущего.",3.0,3.0,relative_clauses,stimul,10,10,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, кто подрабатывал в отделе игрушек, распознаёт китайскую подделку.",5.769230769230769,6.0,relative_clauses,stimul,36,360,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждый юноша, кто пострадал от чистки лица, проклинает нового косметолога.",4.375,4.0,relative_clauses,stimul,18,306,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждого, кто трудился на производстве чугуна, ждёт большая пенсия.",7.0,7.0,relative_clauses,stimul,20,416,no,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждого, кто остался в поселении старообрядцев, кормит собственное хозяйство.",5.888888888888889,6.0,relative_clauses,stimul,28,424,no,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждая дама, на кого смотрел таинственного гость, носит напудренный парик.",3.0505050505050506,3.0,bad,filler,37,524,,,,,
Dorofeeva_2023,"Каждую, кто поступила на должность бухгалтера, выручает новая программа.",3.25,3.0,relative_clauses,stimul,7,259,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая учительница, кто преподавала в классе коррекции, имеет медицинское образование.",3.5,4.0,relative_clauses,stimul,21,93,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто бывал в столице Китая, любит местную кухню.",5.0,5.0,relative_clauses,stimul,15,51,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, кто остался в поселении старообрядцев, ведёт собственное хозяйство.",6.5,6.0,relative_clauses,stimul,28,352,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждый преступник, кто воровал в магазине продуктов, отрицает совершённое преступление.",5.0,5.0,relative_clauses,stimul,14,302,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждый, кто бывал в столице Китая, любит местную кухню.",6.571428571428571,7.0,relative_clauses,stimul,15,339,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждый, кто прошёл в финал конкурса, выигрывает гарантированный приз.",5.428571428571429,5.0,relative_clauses,stimul,2,326,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждый студент, кто участвовал в конференции института, изучает теоретическую физику.",4.25,4.0,relative_clauses,stimul,3,291,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждого заводчика, кто пришёл на выставку собак, сопровождает померанский шпиц.",3.7142857142857135,4.0,relative_clauses,stimul,12,372,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждая, кто зарегистрировался на сайте знакомств, ищет подходящего партнёра.",5.875,6.0,relative_clauses,stimul,19,55,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, в кого была влюблена юная актриса, играет главную роль.",4.96,5.0,bad,filler,37,508,,,,,
Dorofeeva_2023,"Каждая, к кому попадала фарфоровая кукла, бережёт дорогим подарок.",2.292929292929293,2.0,bad,filler,37,522,,,,,
Dorofeeva_2023,"Каждая актриса, кто сыграл в картине режиссёра, получает золотую статуэтку.",3.0,3.0,relative_clauses,stimul,1,1,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, кто явился на собрание родителей, расспрашивает классного руководителя.",6.142857142857143,6.0,relative_clauses,stimul,34,358,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая девочка, кто прокатился на спине гиппопотама, хочет игрушечного бегемота.",5.5,6.0,relative_clauses,stimul,32,32,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую женщину, кто позанимался в студии йоги, отличает душевное равновесие.",5.125,5.0,relative_clauses,stimul,4,148,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая, к кому отошло огромное наследство, покупает новую квартиру.",5.131313131313132,5.0,good,filler,37,521,,,,,
Dorofeeva_2023,"Каждого, кто ночевал в общежитии университета, возмущает любое неудобство.",6.555555555555555,7.0,relative_clauses,stimul,6,402,no,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждый, кто ночевал в общежитии университета, терпит любое неудобство.",4.888888888888889,5.0,relative_clauses,stimul,6,330,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая, благодаря кому открылась картинная галерея, обожает современное искусство.",4.888888888888889,5.0,good,filler,37,525,,,,,
Dorofeeva_2023,"Каждая москвичка, кто жила в центре города, ненавидит ночной шум.",4.142857142857143,4.0,relative_clauses,stimul,8,80,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждого россиянина, кто бывал в столице Китая, восхищает местная кухня.",5.8,6.0,relative_clauses,stimul,15,375,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждая, кто позанимался в студии йоги, обретает душевное равновесие.",3.888888888888889,4.0,relative_clauses,stimul,4,40,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую аспирантку, кто сходил на семинар профессора, смущает изложенная теория.",4.25,4.0,relative_clauses,stimul,26,170,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая, кто ночевала в общежитии университета, терпит любое неудобство.",4.769230769230769,5.0,relative_clauses,stimul,6,114,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый поэт, кто публиковался в спецвыпуске журнала, демонстрирует оригинальный стиль.",5.7,6.0,relative_clauses,stimul,29,317,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая заводчица, кто пришла на выставку собак, держит померанского шпица.",2.0,2.0,relative_clauses,stimul,12,84,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая поэтесса, кто публиковалась в спецвыпуске журнала, демонстрирует оригинальный стиль.",4.857142857142857,5.0,relative_clauses,stimul,29,101,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую, о ком написал ехидный автор, узнаёт подкованный читатель.",5.26,5.0,good,filler,37,535,,,,,
Dorofeeva_2023,"Каждый, кто участвовал в конференции института, изучает теоретическую физику.",5.857142857142857,6.0,relative_clauses,stimul,3,327,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждую ученицу, кто опоздал к началу урока, выгоняет сердитая учительница.",3.857142857142857,4.0,relative_clauses,stimul,30,174,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая, кто сыграл в картине режиссёра, получает золотую статуэтку.",4.285714285714286,4.0,relative_clauses,stimul,1,37,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую россиянку, кто бывал в столице Китая, восхищает местная кухня.",2.857142857142857,3.0,relative_clauses,stimul,15,159,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую журналистку, кто служил в редакции издания, удручает сложившаяся ситуация.",5.142857142857143,5.0,relative_clauses,stimul,16,160,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждого альпиниста, кто взошёл на пик Эвереста, уважают бывалые скалолазы.",6.571428571428571,7.0,relative_clauses,stimul,33,393,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждого поэта, кто публиковался в спецвыпуске журнала, отличает оригинальный стиль.",5.444444444444445,5.0,relative_clauses,stimul,29,389,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждую, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.875,6.0,relative_clauses,stimul,27,207,no,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая, кто поступила на должность бухгалтера, осваивает новую программу.",5.0,5.0,relative_clauses,stimul,7,115,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую туристку, кто ночевал в общежитии университета, возмущает любое неудобство.",3.6666666666666665,4.0,relative_clauses,stimul,6,150,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая художница, кто заходила на аукцион антиквариата, носит необычный шарф.",4.461538461538462,4.0,relative_clauses,stimul,31,103,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто жил в центре города, ненавидит ночной шум.",3.0,3.0,relative_clauses,stimul,8,44,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто приехал на шоу талантов, благодарит понимающего ведущего.",3.375,3.0,relative_clauses,stimul,10,46,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый сотрудник, кто поступил на должность бухгалтера, осваивает новую программу.",5.0,5.0,relative_clauses,stimul,7,295,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждую прихожанку, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.714285714285714,6.0,relative_clauses,stimul,27,171,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждого, к кому приезжал богатый родственник, гложет чёрная зависть.",5.683168316831683,6.0,good,filler,37,505,,,,,
Dorofeeva_2023,"Каждый работник, кто трудился на производстве чугуна, получает большую пенсию.",5.285714285714286,5.0,relative_clauses,stimul,20,308,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждого, кто преуспел в пошиве халатов, ожидает досрочное освобождение.",5.428571428571429,5.0,relative_clauses,stimul,23,419,no,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждая, кто прошла в финал конкурса, выигрывает гарантированный приз.",4.666666666666667,5.0,relative_clauses,stimul,2,110,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто бывала в столице Китая, любит местную кухню.",4.375,4.0,relative_clauses,stimul,15,123,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, кто дежурил на месте катастрофы, демонстрирует невероятную смелость.",5.25,5.0,relative_clauses,stimul,5,329,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая туристка, кто ночевал в общежитии университета, терпит любое неудобство.",2.25,2.0,relative_clauses,stimul,6,6,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто явилась на собрание родителей, расспрашивает классного руководителя.",3.9,4.0,relative_clauses,stimul,34,142,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую танцовщицу, о ком повествовал уволенный костюмер, знает всему город.",1.98,2.0,bad,filler,37,534,,,,,
Dorofeeva_2023,"Каждую ученицу, кто опоздала к началу урока, выгоняет сердитая учительница.",4.857142857142857,5.0,relative_clauses,stimul,30,246,yes,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждый, кто сыграл в картине режиссёра, получает золотую статуэтку.",5.285714285714286,5.0,relative_clauses,stimul,1,325,no,masculine,kazhdyj,nominative,masculine
