experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,quant,strategy,pronoun,agreement,order
Belova_2023,Они пятеро перезвонят по незнакомым номерам.,3.4,3.0,quantiifier,stimul,22.0,345,dvoje,nom,oni,3pl,SV
Belova_2023,Мы трое съездят в отдалённые деревни.,2.75,3.0,quantiifier,stimul,20.0,311,dvoje,nom,my,3pl,SV
Belova_2023,Они четверо познакомится с артистами спектакля.,2.75,3.0,quantiifier,stimul,33.0,522,dvoje,nom,oni,3sg,SV
Belova_2023,За новые проекты возьмутся мы семеро.,1.8,2.0,quantiifier,stimul,42.0,663,dvoje,nom,my,3pl,VS
Belova_2023,За выполненные задачи отчитаются они двое.,3.555555555555556,4.0,quantiifier,stimul,43.0,681,dvoje,nom,oni,3pl,VS
Belova_2023,Четверо из них отправятся в байдарочные походы.,6.4,6.0,quantiifier,stimul,27.0,420,dvoje,elect,oni,3pl,SV
Belova_2023,За допущенные ошибки извинится четверо из них.,3.888888888888889,4.0,quantiifier,stimul,45.0,709,dvoje,elect,oni,3sg,VS
Belova_2023,В течение месяца женится пятеро из нас.,5.0,5.0,quantiifier,stimul,16.0,243,dvoje,elect,my,3sg,VS
Belova_2023,Двое из них свяжется со свадебными фотографами.,1.25,1.0,quantiifier,stimul,25.0,389,dvoje,elect,oni,3sg,SV
Belova_2023,В дешёвых хостелах остановимся двое из нас.,2.4444444444444446,2.0,quantiifier,stimul,7.0,97,dvoje,elect,my,1pl,VS
Belova_2023,Мы все порыбачим в лесных озёрах.,4.818181818181818,5.0,quantiifier,stimul,31.0,494,vse,nom,my,1pl,SV
Belova_2023,На студенческих конференциях выступит мы четверо.,1.875,2.0,quantiifier,stimul,21.0,328,dvoje,nom,my,3sg,VS
Belova_2023,Мы двое порыбачим в лесных озёрах.,5.5,6.0,quantiifier,stimul,31.0,486,dvoje,nom,my,1pl,SV
Belova_2023,Они двое свяжется со свадебными фотографами.,2.1666666666666665,2.0,quantiifier,stimul,25.0,394,dvoje,nom,oni,3sg,SV
Belova_2023,С кредитными долгами рассчитаются шестеро из нас.,5.555555555555555,6.0,quantiifier,stimul,23.0,354,dvoje,elect,my,3pl,VS
Belova_2023,Они шестеро приедут на утренних поездах.,4.2,4.0,quantiifier,stimul,5.0,73,dvoje,nom,oni,3pl,SV
Belova_2023,Все из нас подметём в учебных кабинетах.,1.25,1.0,quantiifier,stimul,41.0,651,vse,elect,my,1pl,SV
Belova_2023,Они все возьмутся за новые проекты.,6.2,6.0,quantiifier,stimul,42.0,672,vse,oni,nom,3pl,SV
Belova_2023,В больших палатках переночуют мы двое.,2.111111111111111,2.0,quantiifier,stimul,19.0,295,dvoje,nom,my,3pl,VS
Belova_2023,В больших палатках переночуют они все.,4.5,4.0,quantiifier,stimul,19.0,304,vse,oni,nom,3pl,VS
Belova_2023,Шестеро из нас поступим в столичные вузы.,2.0,2.0,quantiifier,stimul,17.0,257,dvoje,elect,my,1pl,SV
Belova_2023,Шестеро из них поступят в столичные вузы.,5.75,6.0,quantiifier,stimul,17.0,260,dvoje,elect,oni,3pl,SV
Belova_2023,За допущенные ошибки извинятся они все.,4.666666666666667,5.0,quantiifier,stimul,45.0,720,vse,oni,nom,3pl,VS
Belova_2023,Мы семеро позаботятся о нужных продуктах.,2.75,3.0,quantiifier,stimul,30.0,471,dvoje,nom,my,3pl,SV
Belova_2023,Семеро из них позаботятся о нужных продуктах.,4.666666666666667,5.0,quantiifier,stimul,30.0,468,dvoje,elect,oni,3pl,SV
Belova_2023,Мы трое прилетим в разные аэропорты.,3.8,4.0,quantiifier,stimul,8.0,118,dvoje,nom,my,1pl,SV
Belova_2023,Они семеро переоденется в карнавальные костюмы.,2.0,2.0,quantiifier,stimul,6.0,90,dvoje,nom,oni,3sg,SV
Belova_2023,Все из нас опубликуемся в научных журналах.,2.75,3.0,quantiifier,stimul,2.0,27,vse,elect,my,1pl,SV
Belova_2023,Мы двое остановимся в дешёвых хостелах.,5.75,6.0,quantiifier,stimul,7.0,102,dvoje,nom,my,1pl,SV
Belova_2023,На двугорбых верблюдах покатаются они трое.,2.875,3.0,quantiifier,stimul,26.0,409,dvoje,nom,oni,3pl,VS
Belova_2023,В гостиничные номера вернёмся мы четверо.,4.0,4.0,quantiifier,stimul,15.0,230,dvoje,nom,my,1pl,VS
Belova_2023,С проведением экзаменов помогут мы все.,2.4285714285714284,2.0,quantiifier,stimul,3.0,47,vse,nom,my,3pl,VS
Belova_2023,Четверо из нас вернёмся в гостиничные номера.,2.0,2.0,quantiifier,stimul,15.0,225,dvoje,elect,my,1pl,SV
Belova_2023,Мы четверо выступят на студенческих конференциях.,1.75,2.0,quantiifier,stimul,21.0,327,dvoje,nom,my,3pl,SV
Belova_2023,Мы семеро уволимся с нынешних позиций.,4.0,4.0,quantiifier,stimul,18.0,278,dvoje,nom,my,1pl,SV
Belova_2023,Мы все уволимся с нынешних позиций.,4.666666666666667,5.0,quantiifier,stimul,18.0,286,vse,nom,my,1pl,SV
Belova_2023,Они все вложатся в перспективные акции.,5.875,6.0,quantiifier,stimul,44.0,704,vse,oni,nom,3pl,SV
Belova_2023,Мы все приедем на утренних поездах.,6.5,6.0,quantiifier,stimul,5.0,78,vse,nom,my,1pl,SV
Belova_2023,За выполненные задачи отчитаемся двое из нас.,2.2222222222222223,2.0,quantiifier,stimul,43.0,673,dvoje,elect,my,1pl,VS
Belova_2023,В больших палатках переночует они двое.,1.4444444444444444,1.0,quantiifier,stimul,19.0,298,dvoje,nom,oni,3sg,VS
Belova_2023,Все из нас прикрепимся к новым поликлиникам.,1.5,2.0,quantiifier,stimul,40.0,635,vse,elect,my,1pl,SV
Belova_2023,В важные переговоры вмешаемся все из нас.,2.333333333333333,2.0,quantiifier,stimul,29.0,459,vse,elect,my,1pl,VS
Belova_2023,Они четверо помогут с проведением экзаменов.,3.363636363636364,3.0,quantiifier,stimul,3.0,41,dvoje,nom,oni,3pl,SV
Belova_2023,С кредитными долгами рассчитаются они шестеро.,2.555555555555556,3.0,quantiifier,stimul,23.0,361,dvoje,nom,oni,3pl,VS
Belova_2023,К поисковым отрядам присоединится пятеро из нас.,5.555555555555555,6.0,quantiifier,stimul,28.0,435,dvoje,elect,my,3sg,VS
Belova_2023,Четверо из нас извинимся за допущенные ошибки.,4.25,4.0,quantiifier,stimul,45.0,705,dvoje,elect,my,1pl,SV
Belova_2023,Мы семеро позаботится о нужных продуктах.,1.25,1.0,quantiifier,stimul,30.0,472,dvoje,nom,my,3sg,SV
Belova_2023,Все из нас переоденемся в карнавальные костюмы.,2.333333333333333,2.0,quantiifier,stimul,6.0,91,vse,elect,my,1pl,SV
Belova_2023,На южных курортах отдохнут все из нас.,4.111111111111111,4.0,quantiifier,stimul,24.0,380,vse,elect,my,3pl,VS
Belova_2023,Пятеро из нас пойдём на курсы вождения.,2.4,2.0,quantiifier,stimul,46.0,721,dvoje,elect,my,1pl,SV
Belova_2023,В перспективные акции вложится трое из них.,3.7777777777777777,4.0,quantiifier,stimul,44.0,693,dvoje,elect,oni,3sg,VS
Belova_2023,Трое фокусника будут приглашен на день рождения.,2.256302521008404,2.0,bad,filler,,813,,,,,
Belova_2023,Все из нас разберутся со сломанными телефонами.,4.25,4.0,quantiifier,stimul,9.0,140,vse,elect,my,3pl,SV
Belova_2023,Мы все извинятся за допущенные ошибки.,1.375,1.0,quantiifier,stimul,45.0,719,vse,nom,my,3pl,SV
Belova_2023,На студенческих конференциях выступят четверо из нас.,5.888888888888889,6.0,quantiifier,stimul,21.0,322,dvoje,elect,my,3pl,VS
Belova_2023,Шестеро из них ответит за поломанные инструменты.,2.333333333333333,2.0,quantiifier,stimul,35.0,549,dvoje,elect,oni,3sg,SV
Belova_2023,Мы все сядут за первые парты.,1.25,1.0,quantiifier,stimul,39.0,623,vse,nom,my,3pl,SV
Belova_2023,В научных журналах опубликуются трое из нас.,4.555555555555555,5.0,quantiifier,stimul,2.0,18,dvoje,elect,my,3pl,VS
Belova_2023,С артистами спектакля познакомятся четверо из нас.,5.666666666666667,6.0,quantiifier,stimul,33.0,514,dvoje,elect,my,3pl,VS
Belova_2023,В старых кладовках приберутся все из них.,3.4444444444444446,3.0,quantiifier,stimul,47.0,749,vse,elect,oni,3pl,VS
Belova_2023,Они семеро позаботится о нужных продуктах.,1.6666666666666667,2.0,quantiifier,stimul,30.0,474,dvoje,nom,oni,3sg,SV
Belova_2023,В перспективные акции вложатся они все.,4.444444444444445,4.0,quantiifier,stimul,44.0,704,vse,oni,nom,3pl,VS
Belova_2023,На студенческих конференциях выступят они четверо.,2.888888888888889,3.0,quantiifier,stimul,21.0,329,dvoje,nom,oni,3pl,VS
Belova_2023,Они четверо вернутся в гостиничные номера.,5.0,5.0,quantiifier,stimul,15.0,233,dvoje,nom,oni,3pl,SV
Belova_2023,С заменой лампочек справится шестеро из них.,3.888888888888889,4.0,quantiifier,stimul,11.0,165,dvoje,elect,oni,3sg,VS
