experiment,sentence,response,response_round,subtype,type,lexicalization
Belova_2022,Ты и я пишу заявление на увольнение.,2.230769230769231,2.0,coordination,stimul,15.0
Belova_2022,Диван в гараж отвозишь я и ты.,2.4285714285714284,2.0,coordination,stimul,17.0
Belova_2022,Коробки в макулатуру сдаём я и ты.,4.416666666666667,4.0,coordination,stimul,19.0
Belova_2022,Ты и я копаю грядку под редис.,2.3076923076923075,2.0,coordination,stimul,24.0
Belova_2022,Я и ты подбираем галстук под пиджак.,5.6,6.0,coordination,stimul,23.0
Belova_2022,Я и ты вкладываем деньги в акции.,4.461538461538462,4.0,coordination,stimul,20.0
Belova_2022,Подарок для подруги передаёшь ты и я.,2.210526315789474,2.0,coordination,stimul,2.0
Belova_2022,Вечер у соседей провожу ты и я.,2.6923076923076925,3.0,coordination,stimul,6.0
Belova_2022,Долги за семестр закрывают я и ты.,2.5625,3.0,coordination,stimul,27.0
Belova_2022,Я и ты провожу вечер у соседей.,3.090909090909091,3.0,coordination,stimul,6.0
Belova_2022,Ты и я чистим сапоги от грязи.,4.2,4.0,coordination,stimul,9.0
Belova_2022,Ты и я готовим перекус из овощей.,5.333333333333333,5.0,coordination,stimul,31.0
Belova_2022,Я и ты варят гречку на костре.,3.1818181818181817,3.0,coordination,stimul,13.0
Belova_2022,Ты и я копаем грядку под редис.,4.846153846153846,5.0,coordination,stimul,24.0
Belova_2022,Ты и я готовим реквизит для спектакля.,5.2,5.0,coordination,stimul,3.0
Belova_2022,Духовку от жира отмываем я и ты.,4.416666666666667,4.0,coordination,stimul,10.0
Belova_2022,Я и ты готовлю перекус из овощей.,2.7,3.0,coordination,stimul,31.0
Belova_2022,Переезд за границу намечают я и ты.,2.933333333333333,3.0,coordination,stimul,26.0
Belova_2022,Ключи от квартиры ищем ты и я.,4.785714285714286,5.0,coordination,stimul,12.0
Belova_2022,Штрафы за парковку платим ты и я.,4.684210526315789,5.0,coordination,stimul,28.0
Belova_2022,Для бульона Зоя купила лук и говядину.,6.526717557251908,7.0,good,filler,
Belova_2022,Катя и Федя на ужин запекли картошку в духовке.,6.392156862745098,6.0,good,filler,
Belova_2022,Я и ты строят крепость из снега.,3.933333333333333,4.0,coordination,stimul,30.0
Belova_2022,Цветы на стеной нарисовал Арина и Аля.,1.7251908396946565,2.0,bad,filler,
Belova_2022,Цепочку у ломбарда выкупаешь я и ты.,2.4285714285714284,2.0,coordination,stimul,8.0
Belova_2022,Долги за семестр закрываешь ты и я.,3.4285714285714284,3.0,coordination,stimul,27.0
Belova_2022,Телевизор для бабушки покупаем ты и я.,4.2631578947368425,4.0,coordination,stimul,1.0
