author,sentence,response,sentence_id,lexicalization,number,morphology,subtype,type,response_round,condition
Studenikina_2022,Электронные и механические весы различались в показаниях.,5.942857142857143,19,32,plural,gap,coordination,stimul,6.0,"plural, gap"
Studenikina_2022,Старший и младший братья родились в сентябре.,5.5,29,41,plural,stem,coordination,stimul,6.0,"plural, stem"
Studenikina_2022,Морская и сухопутная пехота перешли в наступление.,5.694444444444445,3,16,singular,gap,coordination,stimul,6.0,"singular, gap"
Studenikina_2022,Близкая и дальняя родня приехали на свадьбу.,5.685714285714286,7,20,singular,gap,coordination,stimul,6.0,"singular, gap"
Studenikina_2022,Короткий и длинный шланг запутались между собой.,5.457142857142857,32,27,singular,regular,coordination,stimul,5.0,"singular, regular"
Studenikina_2022,Грузовой и легковой автомобили остановились на перекрестке.,5.888888888888889,24,19,plural,regular,coordination,stimul,6.0,"plural, regular"
Studenikina_2022,Короткий и длинный шланги запутались между собой.,4.972222222222222,32,27,plural,regular,coordination,stimul,5.0,"plural, regular"
Studenikina_2022,Высокий и низкий человек перебежали через дорогу.,5.171428571428572,1,13,singular,stem,coordination,stimul,5.0,"singular, stem"
Studenikina_2022,Детские и взрослые очки выпали из рюкзака.,5.857142857142857,7,20,plural,gap,coordination,stimul,6.0,"plural, gap"
Studenikina_2022,Тканевый и резиновый шланг лопнули от давления.,5.171428571428572,16,43,singular,regular,coordination,stimul,5.0,"singular, regular"
Studenikina_2022,Пьяный и трезвый англичане поспорили на деньги.,5.4,14,42,plural,suffix,coordination,stimul,5.0,"plural, suffix"
Studenikina_2022,Гоночный и раритетный автомобиль победили на выставке.,4.857142857142857,8,35,singular,regular,coordination,stimul,5.0,"singular, regular"
Studenikina_2022,Пьяный и трезвый англичанин поспорили на деньги.,4.833333333333333,14,42,singular,suffix,coordination,stimul,5.0,"singular, suffix"
Studenikina_2022,Усидчивый и подвижный дети сыграли в шахматы.,2.611111111111111,9,21,plural,stem,coordination,stimul,3.0,"plural, stem"
Studenikina_2022,Веселый и угрюмый друзья созвонились по телефону.,2.861111111111111,21,33,plural,stem,coordination,stimul,3.0,"plural, stem"
Studenikina_2022,Высокий и низкий люди перебежали через дорогу.,2.4166666666666665,1,13,plural,stem,coordination,stimul,2.0,"plural, stem"
Studenikina_2022,Мотострелковая и воздушная пехота двинулись в атаку.,5.416666666666667,19,32,singular,gap,coordination,stimul,5.0,"singular, gap"
Studenikina_2022,Испанский и немецкий друг прилетели на каникулы.,4.542857142857143,5,17,singular,stem,coordination,stimul,5.0,"singular, stem"
Studenikina_2022,Сельская и городская родня собрались на юбилее.,5.888888888888889,23,36,singular,gap,coordination,stimul,6.0,"singular, gap"
Studenikina_2022,Родной и сводный брат поступили в институт.,4.971428571428572,13,25,singular,stem,coordination,stimul,5.0,"singular, stem"
Studenikina_2022,Бурый и белый медвежата адаптировались в зоопарке.,5.764705882352941,26,22,plural,suffix,coordination,stimul,6.0,"plural, suffix"
Studenikina_2022,Неумелый и опытный люди стушевались перед камерой.,2.4722222222222223,17,29,plural,stem,coordination,stimul,2.0,"plural, stem"
