author,sentence,response,response_round,subtype,type,lexicalization,condition,premodifier_number,agreement
Krainova_2023,Эта дюжина репортажей попала в газеты.,4.785714285714286,5.0,quantitative_nouns,stimul,31.0,"singular premodifier, singular verb",singular premodifier,singular verb
Krainova_2023,Эти дюжина коллег уходила в отпуск.,2.888888888888889,3.0,quantitative_nouns,stimul,15.0,"plural premodifier, singular verb",plural premodifier,singular verb
Krainova_2023,Оля обняла массу знакомых на мероприятием.,1.617283950617284,2.0,bad,filler,501.0,bad,,
Krainova_2023,Эти тысяча учеников отправилась на экзамен.,2.625,3.0,quantitative_nouns,stimul,2.0,"plural premodifier, singular verb",plural premodifier,singular verb
Krainova_2023,Мой ряд клиентов торговали на бирже.,1.4285714285714286,1.0,quantitative_nouns,stimul,20.0,"singular premodifier, plural verb",singular premodifier,plural verb
Krainova_2023,Мои масса марок хранились в альбомах.,2.6666666666666665,3.0,quantitative_nouns,stimul,28.0,"plural premodifier, plural verb",plural premodifier,plural verb
Krainova_2023,Эта тысяча писем пришла в редакцию.,4.5,4.0,quantitative_nouns,stimul,30.0,"singular premodifier, singular verb",singular premodifier,singular verb
Krainova_2023,Мои ряд клиентов торговал на бирже.,1.7,2.0,quantitative_nouns,stimul,20.0,"plural premodifier, singular verb",plural premodifier,singular verb
Krainova_2023,Эти тысяча писем пришли в редакцию.,3.333333333333333,3.0,quantitative_nouns,stimul,30.0,"plural premodifier, plural verb",plural premodifier,plural verb
Krainova_2023,Эти дюжина приятелей поднялась на Эверест.,3.2857142857142856,3.0,quantitative_nouns,stimul,27.0,"plural premodifier, singular verb",plural premodifier,singular verb
Krainova_2023,Мои куча выпускников поступали в университет.,1.8571428571428568,2.0,quantitative_nouns,stimul,32.0,"plural premodifier, plural verb",plural premodifier,plural verb
Krainova_2023,Моя масса репортажей попала в газеты.,2.888888888888889,3.0,quantitative_nouns,stimul,31.0,"singular premodifier, singular verb",singular premodifier,singular verb
Krainova_2023,Мои ряд тем снялись с обсуждения.,3.375,3.0,quantitative_nouns,stimul,7.0,"plural premodifier, plural verb",plural premodifier,plural verb
Krainova_2023,Мой ряд объявлений висели на сайте.,1.6428571428571428,2.0,quantitative_nouns,stimul,4.0,"singular premodifier, plural verb",singular premodifier,plural verb
Krainova_2023,Этот миллион пациентов выздоровел от инфекции.,3.1818181818181817,3.0,quantitative_nouns,stimul,12.0,"singular premodifier, singular verb",singular premodifier,singular verb
Krainova_2023,Мой ряд преподавателей выступал за реформу.,2.4545454545454546,2.0,quantitative_nouns,stimul,10.0,"singular premodifier, singular verb",singular premodifier,singular verb
Krainova_2023,Эта дюжина просьб привели к отказу.,1.2727272727272727,1.0,quantitative_nouns,stimul,11.0,"singular premodifier, plural verb",singular premodifier,plural verb
Krainova_2023,Мои куча книг лежали на полу.,2.3,2.0,quantitative_nouns,stimul,19.0,"plural premodifier, plural verb",plural premodifier,plural verb
Krainova_2023,Мои множество поклонников приехали на встречу.,3.0,3.0,quantitative_nouns,stimul,14.0,"plural premodifier, plural verb",plural premodifier,plural verb
Krainova_2023,Мой ряд правок остались без внимания.,1.7,2.0,quantitative_nouns,stimul,26.0,"singular premodifier, plural verb",singular premodifier,plural verb
Krainova_2023,Люди разделяют ряд мифов про магию.,4.853658536585366,5.0,good,filler,501.0,good,,
Krainova_2023,Мои масса статей находилась на рецензировании.,1.7,2.0,quantitative_nouns,stimul,18.0,"plural premodifier, singular verb",plural premodifier,singular verb
Krainova_2023,Эти дюжина репортажей попала в газеты.,3.333333333333333,3.0,quantitative_nouns,stimul,31.0,"plural premodifier, singular verb",plural premodifier,singular verb
Krainova_2023,Поэт исписал тысячу листов в черновиках.,6.2,6.0,good,filler,501.0,good,,
Krainova_2023,Мои куча однокурсников пошла в кино.,1.6666666666666667,2.0,quantitative_nouns,stimul,3.0,"plural premodifier, singular verb",plural premodifier,singular verb
Krainova_2023,Продавец обслужил множество покупателей в полдень.,6.764705882352941,7.0,good,filler,501.0,good,,
Krainova_2023,Моё множество просьб привело к отказу.,3.8181818181818175,4.0,quantitative_nouns,stimul,11.0,"singular premodifier, singular verb",singular premodifier,singular verb
Krainova_2023,Эти миллион марок хранился в альбомах.,1.8,2.0,quantitative_nouns,stimul,28.0,"plural premodifier, singular verb",plural premodifier,singular verb
Krainova_2023,Моё множество экземпляров продавались в магазинах.,2.4444444444444446,2.0,quantitative_nouns,stimul,8.0,"singular premodifier, plural verb",singular premodifier,plural verb
Krainova_2023,Моя куча трав хранились в гербарии.,2.5,2.0,quantitative_nouns,stimul,22.0,"singular premodifier, singular verb",singular premodifier,singular verb
Krainova_2023,Моё множество односельчан вступили в кооператив.,1.7,2.0,quantitative_nouns,stimul,17.0,"singular premodifier, plural verb",singular premodifier,plural verb
Krainova_2023,Этот десяток товарищей играл в баскетбол.,4.666666666666667,5.0,quantitative_nouns,stimul,25.0,"singular premodifier, singular verb",singular premodifier,singular verb
Krainova_2023,Этот миллион студентов выпустились из университета.,3.125,3.0,quantitative_nouns,stimul,24.0,"singular premodifier, plural verb",singular premodifier,plural verb
Krainova_2023,Мои множество экземпляров продавались в магазинах.,2.642857142857143,3.0,quantitative_nouns,stimul,8.0,"plural premodifier, plural verb",plural premodifier,plural verb
