author,sentence,response,group,sentence_id,lexicalization,conj_order,verb_agreement,filler_type,type,response_round,condition
Belova_2022_1,Аванс за квартиру вносим ты и я.,5.333333333333333,C,197,25.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
Belova_2022_1,Аванс за квартиру вносим я и ты.,4.727272727272728,G,193,25.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
Belova_2022_1,Аванс за квартиру вносишь ты и я.,3.3157894736842106,E,199,25.0,you_I,2sg,,stimul,3.0,"you_I, 2sg"
Belova_2022_1,Аванс за квартиру вносишь я и ты.,2.833333333333333,A,195,25.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
Belova_2022_1,Аванс за квартиру вносят ты и я.,3.0,F,200,25.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
Belova_2022_1,Аванс за квартиру вносят я и ты.,2.7142857142857144,B,196,25.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
Belova_2022_1,Аванс за квартиру вношу ты и я.,3.0,D,198,25.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
Belova_2022_1,Аванс за квартиру вношу я и ты.,3.15,H,194,25.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
Belova_2022_1,Билет на самолёт беру ты и я.,2.6666666666666665,B,110,14.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
Belova_2022_1,Билет на самолёт беру я и ты.,3.2857142857142856,F,106,14.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
Belova_2022_1,Билет на самолёт берут ты и я.,2.1875,D,112,14.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
Belova_2022_1,Билет на самолёт берут я и ты.,2.263157894736842,H,108,14.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
Belova_2022_1,Билет на самолёт берём ты и я.,4.416666666666667,A,109,14.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
Belova_2022_1,Билет на самолёт берём я и ты.,4.7368421052631575,E,105,14.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
Belova_2022_1,Билет на самолёт берёшь ты и я.,3.2666666666666666,C,111,14.0,you_I,2sg,,stimul,3.0,"you_I, 2sg"
Belova_2022_1,Билет на самолёт берёшь я и ты.,2.7142857142857144,G,107,14.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
Belova_2022_1,Вечер у соседей проводим ты и я.,4.523809523809524,B,45,6.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
Belova_2022_1,Вечер у соседей проводим я и ты.,3.857142857142857,F,41,6.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
Belova_2022_1,Вечер у соседей проводишь ты и я.,2.4375,D,47,6.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
