experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,head_noun,agreement,quant,is_quantifier
Golovnina_2022,"Все, кто заболеют в дороге, примут лекарства.",6.111111111111111,6.0,relative_clauses,stimul,27.0,212,no,pl,vse,yes
Golovnina_2022,"Те демонстранты, которые выйдут на площадь, прокричат лозунги.",5.447058823529412,5.0,good,filler,501.0,509,,,,
Golovnina_2022,"Те, кто попадут на съезд, выиграют гранты.",6.714285714285714,7.0,relative_clauses,stimul,14.0,112,no,pl,-,no
Golovnina_2022,"Все, кто добегут до финиша, получат медаль.",6.166666666666667,6.0,relative_clauses,stimul,9.0,68,no,pl,vse,yes
Golovnina_2022,"Те политики, кто взойдет на трибуну, произнесут речь.",4.777777777777778,5.0,relative_clauses,stimul,26.0,205,yes,sg,-,no
Golovnina_2022,"Все кандидаты, кто попадут в список, пройдут собеседование.",4.090909090909091,4.0,relative_clauses,stimul,11.0,82,yes,pl,vse,yes
Golovnina_2022,"Все, кто зайдет в бухгалтерию, получат зарплату.",5.066666666666666,5.0,relative_clauses,stimul,1.0,3,no,sg,vse,yes
Golovnina_2022,"Те отдыхающие, кто заплывет за буйки, заплатят  штраф.",4.2,4.0,relative_clauses,stimul,31.0,245,yes,sg,-,no
Golovnina_2022,"Многие бизнесмены, кто пострадает из-за кризиса, получат компенсацию.",4.0,4.0,relative_clauses,stimul,16.0,121,yes,sg,mnogie,yes
Golovnina_2022,"Те родственники, кто уедут из деревни, продадут дома.",3.933333333333333,4.0,relative_clauses,stimul,30.0,238,yes,pl,-,no
Golovnina_2022,"Те, кто добежит до финиша, получат медаль.",4.882352941176471,5.0,relative_clauses,stimul,9.0,71,no,sg,-,no
Golovnina_2022,"Все туристы, кто заболеют в дороге, примут лекарства.",4.0,4.0,relative_clauses,stimul,27.0,210,yes,pl,vse,yes
Golovnina_2022,"Многие, кто выйдут на сцену, споют романсы.",5.333333333333333,5.0,relative_clauses,stimul,24.0,188,no,pl,mnogie,yes
Golovnina_2022,"Тот гражданин, кто вступит в партию, проявят ответственность.",2.892857142857143,3.0,bad,filler,501.0,514,,,,
Golovnina_2022,"Все, кто отступит от правил, покинут команду.",6.333333333333333,6.0,relative_clauses,stimul,25.0,195,no,sg,vse,yes
Golovnina_2022,"Те, кто вступят в профсоюз, получат привилегии.",6.0,6.0,relative_clauses,stimul,13.0,104,no,pl,-,no
Golovnina_2022,"Все друзья, переезжающие в столицу, пришлет подарки.",2.2823529411764705,2.0,bad,filler,501.0,516,,,,
Golovnina_2022,"Те, кто заболеют в дороге, примут лекарства.",6.0,6.0,relative_clauses,stimul,27.0,216,no,pl,-,no
Golovnina_2022,"Те, кто отдохнет перед игрой, улучшат результаты.",5.428571428571429,5.0,relative_clauses,stimul,18.0,143,no,sg,-,no
Golovnina_2022,"Многие артисты, кто приедет на фестиваль, исполнят песни.",4.0,4.0,relative_clauses,stimul,2.0,9,yes,sg,mnogie,yes
Golovnina_2022,"Те, кто проникнет на территорию, оставят следы.",5.333333333333333,5.0,relative_clauses,stimul,3.0,23,no,sg,-,no
Golovnina_2022,"Многие дети, кто устанут на экскурсии, проспят завтрак.",3.7058823529411766,4.0,relative_clauses,stimul,22.0,170,yes,pl,mnogie,yes
Golovnina_2022,"Многие, кто взойдет на трибуну, произнесут речь.",4.916666666666667,5.0,relative_clauses,stimul,26.0,203,no,sg,mnogie,yes
Golovnina_2022,"Тот художник, кто поработает на пленэре, нарисует пейзаж.",4.621951219512195,5.0,good,filler,501.0,511,,,,
Golovnina_2022,"Многие актеры, кто выступит на вечере, прочтут стихи.",4.909090909090909,5.0,relative_clauses,stimul,4.0,25,yes,sg,mnogie,yes
Golovnina_2022,"Те, кто полетят на самолете, прослушают инструктаж.",5.833333333333333,6.0,relative_clauses,stimul,21.0,168,no,pl,-,no
Golovnina_2022,"Многие, кто прилетят из-за границы, привезут сувениры.",5.533333333333333,6.0,relative_clauses,stimul,8.0,60,no,pl,mnogie,yes
Golovnina_2022,"Те артисты, кто приедет на фестиваль, исполнят песни.",3.6666666666666665,4.0,relative_clauses,stimul,2.0,13,yes,sg,-,no
Golovnina_2022,"Многие экскурсанты, кто последует за гидом, увидят памятник.",4.5,4.0,relative_clauses,stimul,32.0,249,yes,sg,mnogie,yes
Golovnina_2022,"Все, кто полетит на самолете, прослушают инструктаж.",5.0588235294117645,5.0,relative_clauses,stimul,21.0,163,no,sg,vse,yes
Golovnina_2022,"Многие репортеры, кто побывают на открытии, заметят подмену.",4.428571428571429,4.0,relative_clauses,stimul,12.0,90,yes,pl,mnogie,yes
Golovnina_2022,"Те предприниматели, которые попадут под санкции, закроет бизнес.",2.5176470588235293,3.0,bad,filler,501.0,524,,,,
Golovnina_2022,"Те водители, кто застрянут в пробке, потеряют время.",4.571428571428571,5.0,relative_clauses,stimul,6.0,46,yes,pl,-,no
Golovnina_2022,"Те, кто ответят на экзамене, получат пятерки.",6.166666666666667,6.0,relative_clauses,stimul,5.0,40,no,pl,-,no
Golovnina_2022,"Те пользователи, кто заплатит за подписку, продлят доступ.",4.428571428571429,4.0,relative_clauses,stimul,7.0,53,yes,sg,-,no
Golovnina_2022,"Те мальчики, кто побегут в эстафете, пропустят уроки.",4.777777777777778,5.0,relative_clauses,stimul,28.0,222,yes,pl,-,no
Golovnina_2022,"Те, кто застрянет в пробке, потеряют время.",5.25,5.0,relative_clauses,stimul,6.0,47,no,sg,-,no
Golovnina_2022,"Многие, кто устанет на экскурсии, проспят завтрак.",4.714285714285714,5.0,relative_clauses,stimul,22.0,171,no,sg,mnogie,yes
Golovnina_2022,"Те студенты, кто ответят на экзамене, получат пятерки.",5.7,6.0,relative_clauses,stimul,5.0,38,yes,pl,-,no
Golovnina_2022,"Многие, кто выступит на вечере, прочтут стихи.",5.375,5.0,relative_clauses,stimul,4.0,27,no,sg,mnogie,yes
Golovnina_2022,"Те исполнители, кто выйдут на сцену, споют романсы.",4.285714285714286,4.0,relative_clauses,stimul,24.0,190,yes,pl,-,no
Golovnina_2022,"Те, кто попадут в список, пройдут собеседование.",5.5,6.0,relative_clauses,stimul,11.0,88,no,pl,-,no
Golovnina_2022,"Те геологи, кто пойдет в поход, возьмут палатки. ",3.7142857142857135,4.0,relative_clauses,stimul,20.0,157,yes,sg,-,no
Golovnina_2022,"Многие, кто попадут на съезд, выиграют гранты.",5.333333333333333,5.0,relative_clauses,stimul,14.0,108,no,pl,mnogie,yes
Golovnina_2022,"Все студенты, кто ответит на экзамене, получат пятерки.",6.142857142857143,6.0,relative_clauses,stimul,5.0,33,yes,sg,vse,yes
Golovnina_2022,"Все преступники, кто сбегут из тюрьмы, понесут наказание.",3.857142857142857,4.0,relative_clauses,stimul,23.0,178,yes,pl,vse,yes
Golovnina_2022,"Все работники, кто вступит в профсоюз, получат привилегии.",5.833333333333333,6.0,relative_clauses,stimul,13.0,97,yes,sg,vse,yes
Golovnina_2022,"Те дети, кто устанет на экскурсии, проспят завтрак.",4.0,4.0,relative_clauses,stimul,22.0,173,yes,sg,-,no
Golovnina_2022,"Многие, кто устанут на экскурсии, проспят завтрак.",3.7777777777777777,4.0,relative_clauses,stimul,22.0,172,no,pl,mnogie,yes
Golovnina_2022,"Те кандидаты, кто попадут в список, пройдут собеседование.",3.142857142857143,3.0,relative_clauses,stimul,11.0,86,yes,pl,-,no
Golovnina_2022,"Те, кто отступит от правил, покинут команду.",4.625,5.0,relative_clauses,stimul,25.0,199,no,sg,-,no
Golovnina_2022,"Те, кто попадет на съезд, выиграют гранты.",4.818181818181818,5.0,relative_clauses,stimul,14.0,111,no,sg,-,no
Golovnina_2022,"Многие приятели, кто прилетит из-за границы, привезут сувениры.",2.4285714285714284,2.0,relative_clauses,stimul,8.0,57,yes,sg,mnogie,yes
Golovnina_2022,"Те ученики, кто опоздает на урок, напишут объяснительные.",4.0625,4.0,relative_clauses,stimul,19.0,149,yes,sg,-,no
