author,sentence,response,response_round,subtype,type,lexicalization,condition,conj_order,verb_agreement
Belova_2022_1,Билет на самолёт беру я и ты.,3.2857142857142856,3.0,coordination,stimul,14.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Контрольной по география Лера и Филипп готовились.,1.907692307692308,2.0,bad,filler,,bad,,
Belova_2022_1,Переезд за границу намечают я и ты.,2.933333333333333,3.0,coordination,stimul,26.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Стены под покраску ровняют ты и я.,3.095238095238096,3.0,coordination,stimul,21.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Участок под огород арендую я и ты.,3.5789473684210527,4.0,coordination,stimul,22.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Письмо от ректора читаешь я и ты.,2.25,2.0,coordination,stimul,11.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Таблетки от головы и живот выпили Макс.,1.5419847328244274,2.0,bad,filler,,bad,,
Belova_2022_1,Духовку от жира отмываем я и ты.,4.416666666666667,4.0,coordination,stimul,10.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Сапоги от грязи чищу ты и я.,2.142857142857143,2.0,coordination,stimul,9.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Гречку на костре варим я и ты.,4.4375,4.0,coordination,stimul,13.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Реквизит для спектакля готовишь я и ты.,2.5789473684210527,3.0,coordination,stimul,3.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Крепость из снега строят я и ты.,2.7857142857142856,3.0,coordination,stimul,30.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Перекус из овощей готовишь ты и я.,3.4285714285714284,3.0,coordination,stimul,31.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Из-за посуда Игорь и Яна поссорился.,1.5877862595419847,2.0,bad,filler,,bad,,
Belova_2022_1,Аванс за квартиру вносят я и ты.,2.7142857142857144,3.0,coordination,stimul,25.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Телевизор для бабушки покупают ты и я.,2.210526315789474,2.0,coordination,stimul,1.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Цепочку у ломбарда выкупаешь я и ты.,2.4285714285714284,2.0,coordination,stimul,8.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Штрафы за парковку платят я и ты.,2.25,2.0,coordination,stimul,28.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Грядку под редис копаю я и ты.,3.2142857142857144,3.0,coordination,stimul,24.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,На выходных Маша и Рита сходили в поход.,6.376923076923077,6.0,good,filler,,good,,
Belova_2022_1,Поездку на дачу планирую ты и я.,2.6875,3.0,coordination,stimul,16.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Диван в гараж отвожу ты и я.,2.5789473684210527,3.0,coordination,stimul,17.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Снежинки из бумаги вырезаешь ты и я.,3.466666666666667,3.0,coordination,stimul,32.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Духовку от жира отмывают я и ты.,2.6875,3.0,coordination,stimul,10.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Комнату у метро снимают я и ты.,2.0,2.0,coordination,stimul,5.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Перед сном Алина умывалась и наносила крем.,6.282442748091603,6.0,good,filler,,good,,
Belova_2022_1,Олесино и Галино поздравление растрогало бабушку.,5.576923076923077,6.0,good,filler,,good,,
Belova_2022_1,Телевизор для бабушки покупаешь я и ты.,1.7333333333333334,2.0,coordination,stimul,1.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Комнату у метро снимаю я и ты.,3.0,3.0,coordination,stimul,5.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Грядку под редис копаешь ты и я.,2.6875,3.0,coordination,stimul,24.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Снежинки из бумаги вырезаю я и ты.,3.5,4.0,coordination,stimul,32.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Заявление на увольнение пишу ты и я.,2.4285714285714284,2.0,coordination,stimul,15.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,На завтрак Федя и Катя испекли сырники.,6.648854961832061,7.0,good,filler,,good,,
Belova_2022_1,Ключи от квартиры ищу я и ты.,2.5625,3.0,coordination,stimul,12.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Грядку под редис копают ты и я.,2.736842105263158,3.0,coordination,stimul,24.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Снежинки из бумаги вырезают ты и я.,2.466666666666667,2.0,coordination,stimul,32.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Диван в гараж отвозят я и ты.,3.2,3.0,coordination,stimul,17.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Духовку от жира отмываешь я и ты.,2.6666666666666665,3.0,coordination,stimul,10.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Шкафчик для посуды чинишь ты и я.,3.333333333333333,3.0,coordination,stimul,4.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Подарок для подруги передаёшь ты и я.,2.210526315789474,2.0,coordination,stimul,2.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Рассвет у озера встречают я и ты.,3.523809523809524,4.0,coordination,stimul,7.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Галстук под пиджак подбирают ты и я.,2.6666666666666665,3.0,coordination,stimul,23.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Вечер у соседей провожу ты и я.,2.6923076923076925,3.0,coordination,stimul,6.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Галстук под пиджак подбираем ты и я.,4.416666666666667,4.0,coordination,stimul,23.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Рассвет у озера встречаем я и ты.,4.5,4.0,coordination,stimul,7.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Духовку от жира отмываю я и ты.,3.238095238095238,3.0,coordination,stimul,10.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Перекус из овощей готовишь я и ты.,2.5384615384615383,3.0,coordination,stimul,31.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Телевизор для бабушки покупают я и ты.,2.3125,2.0,coordination,stimul,1.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Штрафы за парковку платишь я и ты.,2.6,3.0,coordination,stimul,28.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Ключи от квартиры ищу ты и я.,2.2,2.0,coordination,stimul,12.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Стены под покраску ровняем я и ты.,5.0,5.0,coordination,stimul,21.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Цепочку у ломбарда выкупаю ты и я.,2.473684210526316,2.0,coordination,stimul,8.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Рассвет у озера встречаешь я и ты.,2.9166666666666665,3.0,coordination,stimul,7.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Стены под покраску ровняю я и ты.,3.1875,3.0,coordination,stimul,21.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Аванс за квартиру вношу ты и я.,3.0,3.0,coordination,stimul,25.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Коробки в макулатуру сдаём ты и я.,5.105263157894737,5.0,coordination,stimul,19.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Сапоги от грязи чистишь я и ты.,2.2,2.0,coordination,stimul,9.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Диван в гараж отвозишь ты и я.,3.2857142857142856,3.0,coordination,stimul,17.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Переезд за границу намечаешь я и ты.,2.142857142857143,2.0,coordination,stimul,26.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Галстук под пиджак подбираем я и ты.,4.888888888888889,5.0,coordination,stimul,23.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Заявление на увольнение пишешь ты и я.,2.6875,3.0,coordination,stimul,15.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Перекус из овощей готовим ты и я.,5.15,5.0,coordination,stimul,31.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Долги за семестр закрываешь ты и я.,3.4285714285714284,3.0,coordination,stimul,27.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Штрафы за парковку платим ты и я.,4.684210526315789,5.0,coordination,stimul,28.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Вечер у соседей проводишь я и ты.,2.1,2.0,coordination,stimul,6.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Ключи от квартиры ищешь ты и я.,3.1666666666666665,3.0,coordination,stimul,12.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Штрафы за парковку платят ты и я.,2.631578947368421,3.0,coordination,stimul,28.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Билет на самолёт берёшь я и ты.,2.7142857142857144,3.0,coordination,stimul,14.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Билет на самолёт берут ты и я.,2.1875,2.0,coordination,stimul,14.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Долги за семестр закрываю ты и я.,3.071428571428572,3.0,coordination,stimul,27.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Подарок для подруги передаёшь я и ты.,1.9375,2.0,coordination,stimul,2.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Гречку на костре варю я и ты.,3.8947368421052633,4.0,coordination,stimul,13.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Вечер у соседей проводим ты и я.,4.523809523809524,5.0,coordination,stimul,6.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Письмо от ректора читаешь ты и я.,2.35,2.0,coordination,stimul,11.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,В понедельник Кира и Зина проспал.,1.7461538461538462,2.0,bad,filler,,bad,,
Belova_2022_1,Долги за семестр закрываешь я и ты.,2.7333333333333334,3.0,coordination,stimul,27.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Коробки в макулатуру сдаю я и ты.,3.523809523809524,4.0,coordination,stimul,19.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Коробки в макулатуру сдаю ты и я.,2.5,2.0,coordination,stimul,19.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,В зоопарке Женя увидел слона и жирафа.,6.519083969465649,7.0,good,filler,,good,,
Belova_2022_1,Коробки в макулатуру сдаём я и ты.,4.416666666666667,4.0,coordination,stimul,19.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Снежинки из бумаги вырезаю ты и я.,2.952380952380953,3.0,coordination,stimul,32.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Подарок для подруги передаю я и ты.,3.6,4.0,coordination,stimul,2.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Вечер у соседей проводишь ты и я.,2.4375,2.0,coordination,stimul,6.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Крепость из снега строим я и ты.,5.066666666666666,5.0,coordination,stimul,30.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Телевизор для бабушки покупаю я и ты.,3.5294117647058822,4.0,coordination,stimul,1.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Заявление на увольнение пишут ты и я.,2.6842105263157894,3.0,coordination,stimul,15.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Крепость из строим снега ты и я.,1.6428571428571428,2.0,coordination,stimul,30.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Книги в библиотеку отдаём я и ты.,4.333333333333333,4.0,coordination,stimul,18.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Реквизит для спектакля готовишь ты и я.,3.1666666666666665,3.0,coordination,stimul,3.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Деньги в акции вкладывают я и ты.,2.894736842105264,3.0,coordination,stimul,20.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Коробки в макулатуру сдают ты и я.,2.5,2.0,coordination,stimul,19.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Участок под огород арендуешь ты и я.,3.2857142857142856,3.0,coordination,stimul,22.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Гречку на костре варят ты и я.,3.4,3.0,coordination,stimul,13.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Поездку на дачу планируют я и ты.,2.857142857142857,3.0,coordination,stimul,16.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Книги в библиотеку отдаю я и ты.,3.789473684210526,4.0,coordination,stimul,18.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Диван в гараж отвожу я и ты.,3.0,3.0,coordination,stimul,17.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Комнату у метро снимаю ты и я.,3.0,3.0,coordination,stimul,5.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,На фестиваль и концерте приехали фанаты.,2.1615384615384614,2.0,bad,filler,,bad,,
Belova_2022_1,Стены под покраску ровняем ты и я.,5.0,5.0,coordination,stimul,21.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Перекус из овощей готовлю ты и я.,2.833333333333333,3.0,coordination,stimul,31.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Галстук под пиджак подбирают я и ты.,2.473684210526316,2.0,coordination,stimul,23.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Зачёт по истории не сдали Витя и Настя.,6.396946564885496,6.0,good,filler,,good,,
Belova_2022_1,Духовку от жира отмывают ты и я.,2.6,3.0,coordination,stimul,10.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,По утрам Денис завтракал кашей и чаем.,5.728682170542636,6.0,good,filler,,good,,
Belova_2022_1,Машину из сервиса забираю ты и я.,2.642857142857143,3.0,coordination,stimul,29.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Брюк и блузку утром погладили Полина.,1.6412213740458017,2.0,bad,filler,,bad,,
Belova_2022_1,Столик на веранде заняли Даня и Лиза.,6.358778625954199,6.0,good,filler,,good,,
Belova_2022_1,Поездку на дачу планируем я и ты.,4.571428571428571,5.0,coordination,stimul,16.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Крепость из строю снега ты и я.,1.55,2.0,coordination,stimul,30.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Телевизор для бабушки покупаю ты и я.,2.2857142857142856,2.0,coordination,stimul,1.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Коробки в макулатуру сдаёшь я и ты.,2.933333333333333,3.0,coordination,stimul,19.0,"I_you, 2sg",I_you,2sg
Belova_2022_1,Цепочку у ломбарда выкупаешь ты и я.,3.0,3.0,coordination,stimul,8.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Долги за семестр закрываю я и ты.,3.238095238095238,3.0,coordination,stimul,27.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Письмо от ректора читаем ты и я.,4.269230769230769,4.0,coordination,stimul,11.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Аванс за квартиру вносишь ты и я.,3.3157894736842106,3.0,coordination,stimul,25.0,"you_I, 2sg",you_I,2sg
Belova_2022_1,Комнату у метро снимаем ты и я.,3.9166666666666665,4.0,coordination,stimul,5.0,"you_I, 1pl",you_I,1pl
Belova_2022_1,Духовку от жира отмываю ты и я.,3.0,3.0,coordination,stimul,10.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Коробки в макулатуру сдают я и ты.,2.5,2.0,coordination,stimul,19.0,"I_you, 3pl",I_you,3pl
Belova_2022_1,Рассвет у озера встречаю я и ты.,3.2,3.0,coordination,stimul,7.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Письмо от ректора читаю я и ты.,3.2857142857142856,3.0,coordination,stimul,11.0,"I_you, 1sg",I_you,1sg
Belova_2022_1,Поездку на дачу планируют ты и я.,2.5,2.0,coordination,stimul,16.0,"you_I, 3pl",you_I,3pl
Belova_2022_1,Книги в библиотеку отдаю ты и я.,2.4285714285714284,2.0,coordination,stimul,18.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Переезд за границу намечаем я и ты.,5.0,5.0,coordination,stimul,26.0,"I_you, 1pl",I_you,1pl
Belova_2022_1,Подарок для подруги передаю ты и я.,2.142857142857143,2.0,coordination,stimul,2.0,"you_I, 1sg",you_I,1sg
Belova_2022_1,Сапоги от грязи чистишь ты и я.,3.142857142857143,3.0,coordination,stimul,9.0,"you_I, 2sg",you_I,2sg
