author,sentence,response,response_round,subtype,type,lexicalization,condition,predicate_type,agreement,order
Pasko_2022,Сердце и круг закрашивается в причудливом узоре.,4.166666666666667,4.0,coordination,stimul,32,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Существительное и местоимение сочиняется в первом предложении.,3.7142857142857135,4.0,coordination,stimul,21,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,На данный момент профессор пишет книгой и статью.,1.6181818181818182,2.0,bad,filler,501,bad,,,
Pasko_2022,Карьера и образование связываются в последнем докладе.,4.5,4.0,coordination,stimul,8,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,Интеллигенция и пролетариат разобщается в современном мире.,5.4,5.0,coordination,stimul,12,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,Поэзия и проза сопрягается в великом романе.,3.7142857142857135,4.0,coordination,stimul,13,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,В современном мире осуждается интеллигенция и пролетариат.,4.5,4.0,coordination,stimul,12,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В первом предложении сочиняется существительное и местоимение.,3.333333333333333,3.0,coordination,stimul,21,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,В религиозных текстах противопоставляется смирение и тщеславие.,6.0,6.0,coordination,stimul,15,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,В мамином характере проявляются мягкость и строгость.,6.222222222222222,6.0,coordination,stimul,1,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,В религиозных текстах обсуждается смирение и тщеславие.,6.375,6.0,coordination,stimul,15,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Провод и ремень перетирается в примитивном механизме.,4.428571428571429,4.0,coordination,stimul,29,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В последнем докладе связывается карьера и образование.,4.428571428571429,4.0,coordination,stimul,8,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Подруги приносят варенье и чай в городскую больницу.,6.181818181818182,6.0,good,filler,501,good,,,
Pasko_2022,В ежедневном распорядке недооценивается труд и досуг.,5.0,5.0,coordination,stimul,19,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В новом курсе освещается теория и практика.,5.555555555555555,6.0,coordination,stimul,7,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В модной прическе используется прядь и лента.,5.888888888888889,6.0,coordination,stimul,31,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Лицо и фон стираются на старой фотографии.,6.0,6.0,coordination,stimul,2,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Протез и кость разрушается в левом бедре.,2.888888888888889,3.0,coordination,stimul,30,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В человеческом общении ценятся честность и прямолинейность.,6.333333333333333,6.0,coordination,stimul,3,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Сотрудница настраивает принтер и сканером для двусторонней печати.,2.685185185185185,3.0,bad,filler,501,bad,,,
Pasko_2022,Честность и прямолинейность различаются в человеческом общении.,5.857142857142857,6.0,coordination,stimul,3,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,Порядок и хаос умещаются в классическом искусстве.,5.0,5.0,coordination,stimul,25,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,В нашем дворе женщины обсуждают погоду и здоровье.,6.072727272727272,6.0,good,filler,501,good,,,
Pasko_2022,В этой точке заканчиваются прошлое и настоящее.,6.333333333333333,6.0,coordination,stimul,9,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Честность и прямолинейность ценятся в человеческом общении.,6.0,6.0,coordination,stimul,3,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Долг и зло переплетается в оригинальном сценарии.,3.8333333333333335,4.0,coordination,stimul,28,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,Стекло и рама скрепляется на первом этапе.,4.4,4.0,coordination,stimul,24,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,Крючок и кольцо ломается в серебряной застежке.,4.666666666666667,5.0,coordination,stimul,6,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В серебряной застежке ломается крючок и кольцо.,4.428571428571429,4.0,coordination,stimul,6,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Соль и сахар кладется в глубокую емкость.,5.0,5.0,coordination,stimul,4,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В левом бедре срастается протез и кость.,4.428571428571429,4.0,coordination,stimul,30,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Порядок и хаос сочетаются в классическом искусстве.,5.714285714285714,6.0,coordination,stimul,25,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В модной прическе сплетается прядь и лента.,4.5,4.0,coordination,stimul,31,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Прядь и лента сплетается в модной прическе.,3.0,3.0,coordination,stimul,31,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,В отдаленном регионе сближается город и деревня.,4.142857142857143,4.0,coordination,stimul,10,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Мягкость и строгость проявляются в мамином характере.,5.8,6.0,coordination,stimul,1,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Дом и изгородь соприкасаются в правом углу.,5.0,5.0,coordination,stimul,14,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,Стекло и рама скрепляются на первом этапе.,5.25,5.0,coordination,stimul,24,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В известном стихотворении объединяется море и солнце.,5.444444444444445,5.0,coordination,stimul,27,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Окружность и отрезок находятся на нижнем рисунке.,5.5,6.0,coordination,stimul,26,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,В человеческом общении различается честность и прямолинейность.,5.222222222222222,5.0,coordination,stimul,3,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,В глубокую емкость кладется соль и сахар.,5.142857142857143,5.0,coordination,stimul,4,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В ежедневном распорядке разделяются труд и досуг.,5.3,5.0,coordination,stimul,19,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Интеллигенция и пролетариат разобщаются в современном мире.,5.875,6.0,coordination,stimul,12,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В последнем докладе анализируются карьера и образование.,6.666666666666667,7.0,coordination,stimul,8,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Дом и изгородь соприкасается в правом углу.,2.75,3.0,coordination,stimul,14,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,В ежедневном распорядке разделяется труд и досуг.,5.625,6.0,coordination,stimul,19,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,На далеком горизонте сходятся земля и небо.,5.8,6.0,coordination,stimul,22,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Дом и изгородь обваливается в правом углу.,4.222222222222222,4.0,coordination,stimul,14,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В дешевом блокноте рвутся бумага и обложка.,6.0,6.0,coordination,stimul,17,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,В первом предложении сочиняются существительное и местоимение.,2.888888888888889,3.0,coordination,stimul,21,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В правом углу соприкасается дом и изгородь.,3.857142857142857,4.0,coordination,stimul,14,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Новаторство и традиция смыкается в усадебном стиле.,3.6666666666666665,4.0,coordination,stimul,18,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,Расход и прибыль учитывается в годовом отчете.,5.166666666666667,5.0,coordination,stimul,16,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Вера и религия отождествляются в этой теории.,6.285714285714286,6.0,coordination,stimul,23,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,Рабочие красят пол и потолок в самой большой комнату.,2.145454545454545,2.0,bad,filler,501,bad,,,
Pasko_2022,Море и солнце описываются в известном стихотворении.,6.428571428571429,6.0,coordination,stimul,27,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Существительное и местоимение склоняются в первом предложении.,6.0,6.0,coordination,stimul,21,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,В левом бедре разрушается протез и кость.,3.571428571428572,4.0,coordination,stimul,30,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Новаторство и традиция смыкаются в усадебном стиле.,4.4,4.0,coordination,stimul,18,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,Провод и ремень перетираются в примитивном механизме.,5.571428571428571,6.0,coordination,stimul,29,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
