sentence,response,group,filler_type,type,sentence_id,lexicalization,condition,quant,strategy,pronoun,verb,author,response_round
Все из их переночуют в больших палатках.,1.625,N,,stimul,301,19.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,2.0
Все из нас вернутся в гостиничные номера.,4.5,I,,stimul,236,15.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас вернёмся в гостиничные номера.,1.5,H,,stimul,235,15.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас вложатся в перспективные акции.,6.0,F,,stimul,700,44.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас вложимся в перспективные акции.,2.727272727272727,E,,stimul,699,44.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,3.0
Все из нас вмешаемся в важные переговоры.,1.6666666666666667,F,,stimul,459,29.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас вмешаются в важные переговоры.,3.5,G,,stimul,460,29.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас возьмутся за новые проекты.,5.5,D,,stimul,668,42.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас возьмёмся за новые проекты.,1.5,C,,stimul,667,42.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас выступим на студенческих конференциях.,1.875,N,,stimul,331,21.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас выступят на студенческих конференциях.,4.666666666666667,O,,stimul,332,21.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас женимся в течение месяца.,2.0,I,,stimul,251,16.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас женятся в течение месяца.,5.0,J,,stimul,252,16.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас запишемся в спортивные секции.,2.5454545454545454,E,,stimul,187,12.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,3.0
Все из нас запишутся в спортивные секции.,5.333333333333333,F,,stimul,188,12.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас извинимся за допущенные ошибки.,3.6666666666666665,F,,stimul,715,45.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,4.0
Все из нас извинятся за допущенные ошибки.,3.6,G,,stimul,716,45.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас искупаемся в крещенской проруби.,1.5555555555555556,N,,stimul,59,4.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас искупаются в крещенской проруби.,4.0,O,,stimul,60,4.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас объявим о скорых отставках.,1.8,M,,stimul,571,36.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас объявят о скорых отставках.,3.4444444444444446,N,,stimul,572,36.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,3.0
Все из нас опубликуемся в научных журналах.,2.75,L,,stimul,27,2.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,3.0
Все из нас опубликуются в научных журналах.,3.6,M,,stimul,28,2.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас остановимся в дешёвых хостелах.,1.6666666666666667,A,,stimul,107,7.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас остановятся в дешёвых хостелах.,5.0,B,,stimul,108,7.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас ответим за поломанные инструменты.,3.25,L,,stimul,555,35.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,3.0
Все из нас ответят за поломанные инструменты.,5.4,M,,stimul,556,35.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас отдохнут на южных курортах.,4.6,B,,stimul,380,24.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас отдохнём на южных курортах.,1.5,A,,stimul,379,24.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас отметимся на проходной завода.,2.2,O,,stimul,603,38.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
