experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,premodifier_number,agreement,noun_type,case
Krainova_2023,Мои множество односельчан вступило в кооператив.,2.071428571428572,2.0,quantitative_nouns,stimul,17.0,209,pl,sg,adjectival,nominative
Krainova_2023,Учитель заметил массу ошибок в эссе.,6.4125,6.0,good,filler,501.0,504,,,,
Krainova_2023,Этот миллион выпускников поступали в университет.,2.25,2.0,quantitative_nouns,stimul,32.0,64,sg,pl,numeral,nominative
Krainova_2023,Мои масса цветов росла на даче.,1.4444444444444444,1.0,quantitative_nouns,stimul,21.0,213,pl,sg,adjectival,nominative
Krainova_2023,Эта тысяча поклонников приехала на встречу.,4.5,4.0,quantitative_nouns,stimul,14.0,14,sg,sg,numeral,nominative
Krainova_2023,Леня увидел десяток актрисах в Голливуде.,1.170731707317073,1.0,bad,filler,501.0,706,,,,
Krainova_2023,Мои множество писем пришла в редакцию.,1.0909090909090908,1.0,quantitative_nouns,stimul,30.0,222,pl,sg,adjectival,nominative
Krainova_2023,Эта дюжина просьб привели к отказу.,1.2727272727272727,1.0,quantitative_nouns,stimul,11.0,43,sg,pl,numeral,nominative
Krainova_2023,Мой ряд вопросов поступили в разработку.,1.6,2.0,quantitative_nouns,stimul,13.0,109,sg,pl,adjectival,nominative
Krainova_2023,Эти десяток друзей поехал за город.,1.875,2.0,quantitative_nouns,stimul,5.0,133,pl,sg,numeral,nominative
Krainova_2023,Эти дюжина просьб%09привела к отказу.,2.6666666666666665,3.0,quantitative_nouns,stimul,11.0,139,pl,sg,numeral,nominative
Krainova_2023,Мои масса марок хранились в альбомах.,2.6666666666666665,3.0,quantitative_nouns,stimul,28.0,252,pl,pl,adjectival,nominative
Krainova_2023,Моя масса пациентов выздоровели от инфекции.,2.142857142857143,2.0,quantitative_nouns,stimul,12.0,108,sg,pl,adjectival,nominative
Krainova_2023,Эти дюжина последователей ошиблась в выводах.,3.2222222222222223,3.0,quantitative_nouns,stimul,23.0,151,pl,sg,numeral,nominative
Krainova_2023,Мои множество студентов выпустились из университета.,2.7857142857142856,3.0,quantitative_nouns,stimul,24.0,248,pl,pl,adjectival,nominative
Krainova_2023,Эти дюжина репортажей попали в газеты.,2.090909090909091,2.0,quantitative_nouns,stimul,31.0,191,pl,pl,numeral,nominative
Krainova_2023,Врач осмотрел кучу больных на приёма.,1.4146341463414631,1.0,bad,filler,501.0,701,,,,
Krainova_2023,Эти дюжина тем снялись с обсуждения.,1.818181818181818,2.0,quantitative_nouns,stimul,7.0,167,pl,pl,numeral,nominative
Krainova_2023,Эти миллион студентов выпустились из университета.,3.363636363636364,3.0,quantitative_nouns,stimul,24.0,184,pl,pl,numeral,nominative
Krainova_2023,Мои ряд тем снялся с обсуждения.,1.5454545454545454,2.0,quantitative_nouns,stimul,7.0,199,pl,sg,adjectival,nominative
Krainova_2023,Этот десяток препаратов продавался по рецепту.,5.0,5.0,quantitative_nouns,stimul,1.0,1,sg,sg,numeral,nominative
Krainova_2023,Мой ряд последователей ошиблись в выводах.,3.111111111111111,3.0,quantitative_nouns,stimul,23.0,119,sg,pl,adjectival,nominative
Krainova_2023,Моя масса марок хранилась в альбомах.,3.5,4.0,quantitative_nouns,stimul,28.0,92,sg,sg,adjectival,nominative
Krainova_2023,Этот десяток цветов рос на даче.,4.2727272727272725,4.0,quantitative_nouns,stimul,21.0,21,sg,sg,numeral,nominative
Krainova_2023,Мои ряд преподавателей выступали за реформу.,2.5,2.0,quantitative_nouns,stimul,10.0,234,pl,pl,adjectival,nominative
Krainova_2023,Этот миллион экземпляров продавались в магазинах.,2.555555555555556,3.0,quantitative_nouns,stimul,8.0,40,sg,pl,numeral,nominative
Krainova_2023,Моё множество экземпляров продавалось в магазинах.,3.8,4.0,quantitative_nouns,stimul,8.0,72,sg,sg,adjectival,nominative
Krainova_2023,Повар сварил дюжину яиц на завтрака.,1.5731707317073171,2.0,bad,filler,501.0,708,,,,
Krainova_2023,Моя масса коллег уходила в отпуск.,2.375,2.0,quantitative_nouns,stimul,15.0,79,sg,sg,adjectival,nominative
Krainova_2023,Мои ряд вопросов поступил в разработку.,1.5555555555555556,2.0,quantitative_nouns,stimul,13.0,205,pl,sg,adjectival,nominative
