experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,conjuncts,agreement,conjunction,case
Borisova_2024,"В пятницу Коля перекрасил стены и спальной, и детской комнат.",5.0,5.0,coordination,stimul,12,76,adjective_adjective,pl,and_and,genitive
Borisova_2024,"На занятии Вася повредил динамики и стационарного, и портативного компьютера.",5.538461538461538,6.0,coordination,stimul,17,177,adjective_adjective,sg,and_and,genitive
Borisova_2024,После отпуска Маша подлатала ручки замшевой и холщовой сумок.,6.25,6.0,coordination,stimul,13,77,adjective_adjective,pl,and,genitive
Borisova_2024,"В пятницу Коля перекрасил и спальную, и детскую комнаты.",5.166666666666667,5.0,coordination,stimul,12,204,adjective_adjective,pl,and_and,accusative
Borisova_2024,"На концерте Степа спел куплеты и дореволюционной, и советской песни.",4.0,4.0,coordination,stimul,21,53,adjective_adjective,sg,and_and,genitive
Borisova_2024,"В декабре Юра включил лампочки и белой, и разноцветной гирлянд.",4.428571428571429,4.0,coordination,stimul,28,92,adjective_adjective,pl,and_and,genitive
Borisova_2024,"В пятницу Коля перекрасил стены и спальной, и детской комнаты.",4.363636363636363,4.0,coordination,stimul,12,12,adjective_adjective,sg,and_and,genitive
Borisova_2024,На каникулах Света перешила шелковую и ситцевую блузки.,6.0,6.0,coordination,stimul,29,221,adjective_adjective,pl,and,accusative
Borisova_2024,"Во время похода Гриша сфотографировал берега и глубокой, и мелкой рек.",5.333333333333333,5.0,coordination,stimul,18,18,adjective_adjective,pl,and_and,genitive
Borisova_2024,"На празднике Катя прочитала строки и латинской, и древнегреческой оды.",5.166666666666667,5.0,coordination,stimul,4,4,adjective_adjective,sg,and_and,genitive
Borisova_2024,"Перед спектаклем Петя вымыл ступени и черной, и парадной лестницы.",5.307692307692308,5.0,coordination,stimul,15,111,adjective_adjective,sg,and_and,genitive
Borisova_2024,В марте Лиза посадила саженцы русского и американского клена.,6.0,6.0,coordination,stimul,16,112,adjective_adjective,sg,and,genitive
Borisova_2024,До обеденного перерыва Алиса подписала бумаги бухгалтера и секретаря.,5.989130434782608,6.0,good,filler,33,277,,,,
Borisova_2024,"При переезде Даня помял и картонную, и жестяную коробку.",5.0,5.0,coordination,stimul,31,255,adjective_adjective,sg,and_and,accusative
Borisova_2024,"В среду Сеня выучил следствия и алгебраической, и геометрической теоремы.",5.0,5.0,coordination,stimul,5,37,adjective_adjective,sg,and_and,genitive
Borisova_2024,Перед концертом Аня настроила струны классической и гавайской гитары.,5.888888888888889,6.0,coordination,stimul,7,71,adjective_adjective,sg,and,genitive
Borisova_2024,"В декабре Юра включил и белую, и разноцветную гирлянду.",5.0,5.0,coordination,stimul,28,156,adjective_adjective,sg,and_and,accusative
Borisova_2024,Перед спектаклем Петя вымыл ступени черной и парадной лестницы.,5.333333333333333,5.0,coordination,stimul,15,79,adjective_adjective,sg,and,genitive
Borisova_2024,"Перед уходом Ира закрыла дверцы и книжного, и платяного шкафов.",6.2,6.0,coordination,stimul,3,35,adjective_adjective,pl,and_and,genitive
Borisova_2024,Во время похода Гриша сфотографировал берега глубокой и мелкой рек.,5.2,5.0,coordination,stimul,18,242,adjective_adjective,pl,and,genitive
Borisova_2024,"После представления Егор оставила шнурки и ботинок, и туфель.",1.553191489361702,2.0,bad,filler,33,272,,,,
Borisova_2024,"Во время прогулки Дима нашел и сибирскую, и китайскую ели.",4.833333333333333,5.0,coordination,stimul,2,130,adjective_adjective,pl,and_and,accusative
Borisova_2024,Во вторник Тася постирала рукава фиолетовой и желтой водолазок.,6.090909090909091,6.0,coordination,stimul,20,52,adjective_adjective,pl,and,genitive
Borisova_2024,Через неделю Вова унес кучи листьев и мусора.,4.967032967032967,5.0,good,filler,33,261,,,,
Borisova_2024,Во время звонка Эля сломала старый и новый телефон.,3.8333333333333335,4.0,coordination,stimul,9,9,adjective_adjective,sg,and,accusative
Borisova_2024,После аварии Миша поменял личный и рабочий автомобиль.,4.181818181818182,4.0,coordination,stimul,1,1,adjective_adjective,sg,and,accusative
Borisova_2024,"За каникулы Варя вспомнила правила и английского, и французского языка.",5.833333333333333,6.0,coordination,stimul,19,243,adjective_adjective,sg,and_and,genitive
Borisova_2024,"За обедом Костя съел остатки и капустного, и яблочного пирога.",6.166666666666667,6.0,coordination,stimul,27,251,adjective_adjective,sg,and_and,genitive
Borisova_2024,"Во вторник Тася постирала рукава и фиолетовой, и желтой водолазок.",5.125,5.0,coordination,stimul,20,84,adjective_adjective,pl,and_and,genitive
Borisova_2024,В четверг Леня посмотрел итальянский и немецкий фильм.,4.2727272727272725,4.0,coordination,stimul,8,232,adjective_adjective,sg,and,accusative
Borisova_2024,"Во время ужина Поля разбила и чайный, и кофейный сервизы.",5.642857142857143,6.0,coordination,stimul,25,121,adjective_adjective,pl,and_and,accusative
Borisova_2024,"На мастер-классе Рома нарисовал и военный, и пиратский корабль.",5.166666666666667,5.0,coordination,stimul,24,24,adjective_adjective,sg,and_and,accusative
Borisova_2024,За ужином Нина показала фотографии и рисунки.,6.610526315789474,7.0,good,filler,33,274,,,,
Borisova_2024,"Перед уходом Ира закрыла дверцы и книжного, и платяного шкафа.",5.25,5.0,coordination,stimul,3,227,adjective_adjective,sg,and_and,genitive
Borisova_2024,На мастер-классе Рома нарисовал военный и пиратский корабль.,4.818181818181818,5.0,coordination,stimul,24,248,adjective_adjective,sg,and,accusative
Borisova_2024,"На каникулах Света перешила пуговицы и шелковой, и ситцевой блузки.",5.2727272727272725,5.0,coordination,stimul,29,61,adjective_adjective,sg,and_and,genitive
Borisova_2024,"Перед уроком Настя испачкала страницы и толстой, и тонкой книги.",5.25,5.0,coordination,stimul,26,218,adjective_adjective,sg,and_and,genitive
Borisova_2024,"За обедом Костя съел и капустный, и яблочный пирог.",5.785714285714286,6.0,coordination,stimul,27,123,adjective_adjective,sg,and_and,accusative
Borisova_2024,"На прошлой неделе Ксюша прослушала части и фортепианного, и скрипичного концерта.",5.0,5.0,coordination,stimul,32,160,adjective_adjective,sg,and_and,genitive
Borisova_2024,"За выходные Вика заштопала и лыжную, и охотничью куртки.",6.2727272727272725,6.0,coordination,stimul,23,55,adjective_adjective,pl,and_and,accusative
