experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,conjuncts,agreement,conjunction,order,predicate_type,gender_match
Pasko_2022,В мамином характере соединяются мягкость и строгость.,7.0,7.0,coordination,stimul,1,1,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Карьера и образование связывается в последнем докладе.,3.3,3.0,coordination,stimul,8,60,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,Сердце и круг чередуются в причудливом узоре.,6.0,6.0,coordination,stimul,32,250,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,В мамином характере проявляется мягкость и строгость.,5.8,6.0,coordination,stimul,1,7,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,На данный момент профессор пишет книгой и статью.,1.6181818181818182,2.0,bad,filler,501,532,,,,,,
Pasko_2022,В великом романе теряется поэзия и проза.,5.2,5.0,coordination,stimul,13,103,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,В модной прическе используется прядь и лента.,5.888888888888889,6.0,coordination,stimul,31,247,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,Море и солнце описываются в известном стихотворении.,6.428571428571429,6.0,coordination,stimul,27,214,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,В правом углу обваливаются дом и изгородь.,2.333333333333333,2.0,coordination,stimul,14,109,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,На следующем шаге вычитаются икс и игрек.,4.833333333333333,5.0,coordination,stimul,11,85,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Поэзия и проза сопрягается в великом романе.,3.7142857142857135,4.0,coordination,stimul,13,100,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,В классическом искусстве сочетается порядок и хаос.,5.3,5.0,coordination,stimul,25,195,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,В этой точке встречаются прошлое и настоящее.,7.0,7.0,coordination,stimul,9,65,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Труд и досуг недооценивается в ежедневном распорядке.,3.142857142857143,3.0,coordination,stimul,19,152,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,В оригинальном сценарии отображается долг и зло.,3.7142857142857135,4.0,coordination,stimul,28,223,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,Петя пишет сочинение и диктант на этом уроком.,2.3703703703703702,2.0,bad,filler,501,506,,,,,,
Pasko_2022,Бумага и обложка склеивается в дешевом блокноте.,4.285714285714286,4.0,coordination,stimul,17,132,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,Поэзия и проза теряется в великом романе.,4.285714285714286,4.0,coordination,stimul,13,104,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Протез и кость срастается в левом бедре.,3.75,4.0,coordination,stimul,30,236,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В последнем докладе связываются карьера и образование.,5.571428571428571,6.0,coordination,stimul,8,57,noun_noun,pl,and,VS,symmetric,nonmatch
