experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,head_noun,agreement,quant,head_case,head_gender,condition
Dorofeeva_2023,"Каждая сотрудница, кто поступил на должность бухгалтера, осваивает новую программу.",4.285714285714286,4.0,relative_clauses,stimul,7,7,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая школьница, кто был на уроке труда, ест приготовленный суп.",2.0,2.0,relative_clauses,stimul,22,22,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая певица, кто приехал на шоу талантов, благодарит понимающего ведущего.",3.0,3.0,relative_clauses,stimul,10,10,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждый, кто подрабатывал в отделе игрушек, распознаёт китайскую подделку.",5.769230769230769,6.0,relative_clauses,stimul,36,360,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый юноша, кто пострадал от чистки лица, проклинает нового косметолога.",4.375,4.0,relative_clauses,stimul,18,306,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждого, кто трудился на производстве чугуна, ждёт большая пенсия.",7.0,7.0,relative_clauses,stimul,20,416,no head noun,masculine verb,kazhdyj,accusative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждого, кто остался в поселении старообрядцев, кормит собственное хозяйство.",5.888888888888889,6.0,relative_clauses,stimul,28,424,no head noun,masculine verb,kazhdyj,accusative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую, кто поступила на должность бухгалтера, выручает новая программа.",3.25,3.0,relative_clauses,stimul,7,259,no head noun,feminine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждая учительница, кто преподавала в классе коррекции, имеет медицинское образование.",3.5,4.0,relative_clauses,stimul,21,93,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждая, кто бывал в столице Китая, любит местную кухню.",5.0,5.0,relative_clauses,stimul,15,51,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждый, кто остался в поселении старообрядцев, ведёт собственное хозяйство.",6.5,6.0,relative_clauses,stimul,28,352,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый преступник, кто воровал в магазине продуктов, отрицает совершённое преступление.",5.0,5.0,relative_clauses,stimul,14,302,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый, кто бывал в столице Китая, любит местную кухню.",6.571428571428571,7.0,relative_clauses,stimul,15,339,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый, кто прошёл в финал конкурса, выигрывает гарантированный приз.",5.428571428571429,5.0,relative_clauses,stimul,2,326,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый студент, кто участвовал в конференции института, изучает теоретическую физику.",4.25,4.0,relative_clauses,stimul,3,291,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждого заводчика, кто пришёл на выставку собак, сопровождает померанский шпиц.",3.7142857142857135,4.0,relative_clauses,stimul,12,372,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая, кто зарегистрировался на сайте знакомств, ищет подходящего партнёра.",5.875,6.0,relative_clauses,stimul,19,55,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая актриса, кто сыграл в картине режиссёра, получает золотую статуэтку.",3.0,3.0,relative_clauses,stimul,1,1,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждый, кто явился на собрание родителей, расспрашивает классного руководителя.",6.142857142857143,6.0,relative_clauses,stimul,34,358,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая девочка, кто прокатился на спине гиппопотама, хочет игрушечного бегемота.",5.5,6.0,relative_clauses,stimul,32,32,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую женщину, кто позанимался в студии йоги, отличает душевное равновесие.",5.125,5.0,relative_clauses,stimul,4,148,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждого, кто ночевал в общежитии университета, возмущает любое неудобство.",6.555555555555555,7.0,relative_clauses,stimul,6,402,no head noun,masculine verb,kazhdyj,accusative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый, кто ночевал в общежитии университета, терпит любое неудобство.",4.888888888888889,5.0,relative_clauses,stimul,6,330,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая москвичка, кто жила в центре города, ненавидит ночной шум.",4.142857142857143,4.0,relative_clauses,stimul,8,80,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждого россиянина, кто бывал в столице Китая, восхищает местная кухня.",5.8,6.0,relative_clauses,stimul,15,375,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая, кто позанимался в студии йоги, обретает душевное равновесие.",3.888888888888889,4.0,relative_clauses,stimul,4,40,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую аспирантку, кто сходил на семинар профессора, смущает изложенная теория.",4.25,4.0,relative_clauses,stimul,26,170,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая, кто ночевала в общежитии университета, терпит любое неудобство.",4.769230769230769,5.0,relative_clauses,stimul,6,114,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
