author,sentence,response,response_round,subtype,type,lexicalization,condition,pronoun,strategy,verb
Belova_2023_2,В старых кладовках приберёмся мы шестеро.,4.25,4.0,quantifier,stimul,47.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,О нужных продуктах позаботимся семеро из нас.,2.333333333333333,2.0,quantifier,stimul,30.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В спортивные секции запишется они семеро.,1.6666666666666667,2.0,quantifier,stimul,12.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_2,В учебных кабинетах подметут шестеро из нас.,5.222222222222222,5.0,quantifier,stimul,41.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На студенческих конференциях выступят четверо из нас.,5.888888888888889,6.0,quantifier,stimul,21.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,Только двое из выпускники пойдут в магистратура.,2.6785714285714284,3.0,bad,filler,,bad,,,
Belova_2023_2,В соседние страны переедут все из нас.,3.2222222222222223,3.0,quantifier,stimul,32.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,О скорых отставках объявят все из них.,3.7777777777777777,4.0,quantifier,stimul,36.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,За допущенные ошибки извинимся четверо из нас.,2.555555555555556,3.0,quantifier,stimul,45.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,На южных курортах отдохнёт они семеро.,1.2222222222222223,1.0,quantifier,stimul,24.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_2,В дешёвых хостелах остановимся мы все.,3.125,3.0,quantifier,stimul,7.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В спортивные секции запишутся все из них.,3.888888888888889,4.0,quantifier,stimul,12.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,На двугорбых верблюдах покатаются они все.,4.555555555555555,5.0,quantifier,stimul,26.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,Четверо из мальчик смастерят кормушкой для птиц.,1.8794326241134751,2.0,bad,filler,,bad,,,
Belova_2023_2,В столичные вузы поступит семеро из них.,3.555555555555556,4.0,quantifier,stimul,17.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,На акустической гитаре сыграют они все.,3.888888888888889,4.0,quantifier,stimul,13.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,За выполненные задачи отчитаются они все.,4.666666666666667,5.0,quantifier,stimul,43.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,В крещенской проруби искупаются они пятеро.,2.625,3.0,quantifier,stimul,4.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,К новым поликлиникам прикрепимся пятеро из нас.,2.333333333333333,2.0,quantifier,stimul,40.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,На студенческих конференциях выступит четверо из них.,3.4444444444444446,3.0,quantifier,stimul,21.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,В научных журналах опубликуются они все.,4.111111111111111,4.0,quantifier,stimul,2.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,В дешёвых хостелах остановимся мы двое.,4.125,4.0,quantifier,stimul,7.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,За первые парты сядет мы четверо.,1.625,2.0,quantifier,stimul,39.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_2,За первые парты сядут все из нас.,3.2222222222222223,3.0,quantifier,stimul,39.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,В важные переговоры вмешается шестеро из них.,2.888888888888889,3.0,quantifier,stimul,29.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,В больших палатках переночуют они все.,4.5,4.0,quantifier,stimul,19.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,Со свадебными фотографами свяжемся мы все.,3.25,3.0,quantifier,stimul,25.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В социальных опросах поучаствуем мы семеро.,4.5,4.0,quantifier,stimul,48.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В социальных опросах поучаствуем семеро из нас.,2.555555555555556,3.0,quantifier,stimul,48.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В дешёвых хостелах остановятся они все.,4.222222222222222,4.0,quantifier,stimul,7.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,С кредитными долгами рассчитается шестеро из них.,3.888888888888889,4.0,quantifier,stimul,23.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,С заменой лампочек справятся все из нас.,4.111111111111111,4.0,quantifier,stimul,11.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,С нынешних позиций уволится они семеро.,2.111111111111111,2.0,quantifier,stimul,18.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_2,С проведением экзаменов поможем мы четверо.,4.0,4.0,quantifier,stimul,3.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,С поставщиками продуктов созвонится пятеро из нас.,5.222222222222222,5.0,quantifier,stimul,10.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_2,В больших палатках переночует они двое.,1.4444444444444444,1.0,quantifier,stimul,19.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_2,За первые парты сядем четверо из нас.,2.111111111111111,2.0,quantifier,stimul,39.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,К поисковым отрядам присоединимся все из нас.,3.0,3.0,quantifier,stimul,28.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В гостиничные номера вернётся четверо из них.,3.111111111111111,3.0,quantifier,stimul,15.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,В соседние страны переедем мы трое.,4.375,4.0,quantifier,stimul,32.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В дешёвых хостелах остановимся двое из нас.,2.4444444444444446,2.0,quantifier,stimul,7.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,На пятничную вечеринку придут они все.,4.777777777777778,5.0,quantifier,stimul,1.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,В учебных кабинетах подметём мы шестеро.,3.875,4.0,quantifier,stimul,41.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В научных журналах опубликуются мы все.,2.5,2.0,quantifier,stimul,2.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,С артистами спектакля познакомятся четверо из них.,5.888888888888889,6.0,quantifier,stimul,33.0,"they, elect, 3pl",they,elect,3pl
