author,sentence,response,response_round,subtype,type,lexicalization,condition,case,animacy
Krainova_2024,Команда гордилась этими десятком наград.,2.9166666666666665,3.0,quantitative_nouns,desyatok,13,"ins, unanimated",ins,unanimated
Krainova_2024,Критики манипулировали этими парой ошибок.,3.0,3.0,quantitative_nouns,para,24,"ins, unanimated",ins,unanimated
Krainova_2024,Астрономы не замечали этих тысячи звезд.,3.083333333333333,3.0,quantitative_nouns,tisyacha,7,"gen, unanimated",gen,unanimated
Krainova_2024,Музыкант сочинил эти десяток песен.,3.25,3.0,quantitative_nouns,desyatok,14,"acc, unanimated",acc,unanimated
Krainova_2024,В шкафах стояли эти сотня книг.,2.75,3.0,quantitative_nouns,sotnya,3,"nom, unanimated",nom,unanimated
Krainova_2024,На репетиции произошли эти пара ошибок.,4.083333333333333,4.0,quantitative_nouns,para,24,"nom, unanimated",nom,unanimated
Krainova_2024,Оранжерея лишилась этих сотни трав.,4.545454545454546,5.0,quantitative_nouns,sotnya,21,"gen, unanimated",gen,unanimated
Krainova_2024,Бухгалтер избегал этих пары коллег.,3.0,3.0,quantitative_nouns,para,4,"gen, animated",gen,animated
Krainova_2024,Инструктор обучил этих десяток водителей.,2.833333333333333,3.0,quantitative_nouns,desyatok,6,"acc, animated",acc,animated
Krainova_2024,На юбилей пришел тысяча гостей.,1.375,1.0,quantitative_nouns,,501,bad,,
Krainova_2024,В магазин привезли эти сотню книг.,3.0,3.0,quantitative_nouns,sotnya,3,"acc, unanimated",acc,unanimated
Krainova_2024,На небе светили эти тысяча звезд.,4.25,4.0,quantitative_nouns,tisyacha,7,"nom, unanimated",nom,unanimated
Krainova_2024,В Австралии остерегались этих сотни животных.,3.083333333333333,3.0,quantitative_nouns,sotnya,20,"gen, animated",gen,animated
Krainova_2024,Зоопарк заинтересовался этими сотней животных.,2.833333333333333,3.0,quantitative_nouns,sotnya,20,"ins, animated",ins,animated
Krainova_2024,Спортсмен желал этих десятка наград.,3.4166666666666665,3.0,quantitative_nouns,desyatok,13,"gen, unanimated",gen,unanimated
